datetime, generalTweets, generalAccounts, voiceTweets, voiceAccounts
2020-04-24-03-00-00,100866,27485,96059,27485
2020-04-24-04-00-00,101163,27524,96341,27524
2020-04-24-05-00-00,101163,27524,96341,27524
2020-04-24-06-00-00,101358,27552,96539,27552
2020-04-24-07-00-00,101358,27552,96539,27552
2020-04-24-08-00-00,102004,27592,97137,27592
2020-04-24-09-00-00,102004,27592,97137,27592
2020-04-24-10-00-00,102623,27650,97814,27650
2020-04-24-11-00-00,102623,27650,97814,27650
2020-04-24-12-00-00,103115,27707,98239,27707
2020-04-24-13-00-00,103115,27707,98239,27707
2020-04-24-14-00-00,103657,27758,98792,27758
2020-04-24-15-00-00,103657,27758,98792,27758
2020-04-24-16-00-00,104099,27809,99223,27809
2020-04-24-17-00-00,104099,27809,99223,27809
2020-04-24-18-00-00,104567,27867,99717,27867
2020-04-24-19-00-00,104567,27867,99717,27867
2020-04-24-20-00-00,105542,27961,100721,27961
2020-04-24-21-00-00,105542,27961,100721,27961
2020-04-24-22-00-00,107193,28106,102689,28106
2020-04-24-23-00-00,107193,28106,102689,28106
2020-04-25-00-00-00,109823,28315,105182,28315
2020-04-25-01-00-00,109823,28315,105182,28315
2020-04-25-02-00-00,110722,28410,106071,28410
2020-04-25-03-00-00,110722,28410,106071,28410
2020-04-25-04-00-00,111036,28437,106296,28437
2020-04-25-05-00-00,111036,28437,106296,28437
2020-04-25-06-00-00,111216,28461,106448,28461
2020-04-25-07-00-00,111216,28461,106448,28461
2020-04-25-08-00-00,111625,28510,106861,28510
2020-04-25-09-00-00,111625,28510,106861,28510
2020-04-25-10-00-00,112275,28591,107496,28591
2020-04-25-11-00-00,112275,28591,107496,28591
2020-04-25-12-00-00,112875,28667,108072,28667
2020-04-25-13-00-00,112875,28667,108072,28667
2020-04-25-14-00-00,113509,28751,108796,28751
2020-04-25-15-00-00,113509,28751,108796,28751
2020-04-25-16-00-00,114347,28865,109741,28865
2020-04-25-17-00-00,114347,28865,109741,28865
2020-04-25-18-00-00,115110,28964,110596,28964
2020-04-25-19-00-00,115364,28985,110797,28985
2020-04-25-20-00-00,116072,29051,111612,29051
2020-04-25-21-00-00,116072,29051,111612,29051
2020-04-25-22-00-00,117897,29196,113281,29196
2020-04-25-23-00-00,117897,29196,113281,29196
2020-04-26-00-00-00,120237,29377,115393,29377
2020-04-26-01-00-00,120834,29421,115961,29421
2020-04-26-02-00-00,120834,29421,115961,29421
2020-04-26-03-00-00,120834,29421,115961,29421
2020-04-26-04-00-00,121480,29502,116606,29502
2020-04-26-05-00-00,121480,29502,116606,29502
2020-04-26-06-00-00,121480,29502,116606,29502
2020-04-26-07-00-00,121480,29502,116606,29502
2020-04-26-08-00-00,121480,29502,116606,29502
2020-04-26-09-00-00,122737,29623,117838,29623
2020-04-26-10-00-00,122737,29623,117838,29623
2020-04-26-11-00-00,122737,29623,117838,29623
2020-04-26-12-00-00,122737,29623,117838,29623
2020-04-26-13-00-00,122737,29623,117838,29623
2020-04-26-14-00-00,124458,29806,119670,29806
2020-04-26-15-00-00,124458,29806,119670,29806
2020-04-26-16-00-00,124458,29806,119670,29806
2020-04-26-17-00-00,124458,29806,119670,29806
2020-04-26-18-00-00,125307,29899,120474,29899
2020-04-26-19-00-00,125307,29899,120474,29899
2020-04-26-20-00-00,125307,29899,120474,29899
2020-04-26-21-00-00,126591,30010,121733,30010
2020-04-26-22-00-00,126591,30010,121733,30010
2020-04-26-23-00-00,129003,30154,123826,30154
2020-04-27-00-00-00,129003,30154,123826,30154
2020-04-27-01-00-00,130743,30306,125558,30306
2020-04-27-02-00-00,130743,30306,125558,30306
2020-04-27-03-00-00,131161,30354,126002,30354
2020-04-27-04-00-00,131161,30354,126002,30354
2020-04-27-05-00-00,131306,30370,126127,30370
2020-04-27-06-00-00,131306,30370,126127,30370
2020-04-27-07-00-00,131560,30387,126359,30387
2020-04-27-08-00-00,131560,30387,126359,30387
2020-04-27-09-00-00,132036,30424,126862,30424
2020-04-27-10-00-00,132036,30424,126862,30424
2020-04-27-11-00-00,132432,30461,127224,30461
2020-04-27-12-00-00,132432,30461,127224,30461
2020-04-27-13-00-00,132997,30510,127768,30510
2020-04-27-14-00-00,133307,30550,128107,30550
2020-04-27-15-00-00,133343,30554,128162,30554
2020-04-27-16-00-00,133343,30554,128162,30554
2020-04-27-17-00-00,133738,30580,128554,30580
2020-04-27-18-00-00,133738,30580,128554,30580
2020-04-27-19-00-00,134220,30630,129034,30630
2020-04-27-20-00-00,134220,30630,129034,30630
2020-04-27-21-00-00,135358,30719,130198,30719
2020-04-27-22-00-00,135358,30719,130198,30719
2020-04-27-23-00-00,137145,30872,131854,30872
2020-04-28-00-00-00,137145,30872,131854,30872
2020-04-28-01-00-00,138598,30999,133248,30999
2020-04-28-02-00-00,138745,31012,133371,31012
2020-04-28-03-00-00,138921,31027,133525,31027
2020-04-28-04-00-00,138921,31027,133525,31027
2020-04-28-05-00-00,139020,31040,133614,31040
2020-04-28-06-00-00,139020,31040,133614,31040
2020-04-28-07-00-00,139277,31059,133849,31059
2020-04-28-08-00-00,139277,31059,133849,31059
2020-04-28-09-00-00,139736,31085,134315,31085
2020-04-28-10-00-00,139736,31085,134315,31085
2020-04-28-11-00-00,140039,31125,134607,31125
2020-04-28-12-00-00,140039,31125,134607,31125
2020-04-28-13-00-00,140496,31164,135090,31164
2020-04-28-14-00-00,140496,31164,135090,31164
2020-04-28-15-00-00,140865,31212,135417,31212
2020-04-28-16-00-00,140865,31212,135417,31212
2020-04-28-17-00-00,141182,31256,135706,31256
2020-04-28-18-00-00,141182,31256,135706,31256
2020-04-28-19-00-00,141499,31301,136050,31301
2020-04-28-20-00-00,141499,31301,136050,31301
2020-04-28-21-00-00,142367,31363,136908,31363
2020-04-28-22-00-00,142367,31363,136908,31363
2020-04-28-23-00-00,143744,31442,138095,31442
2020-04-29-00-00-00,143744,31442,138095,31442
2020-04-29-01-00-00,145188,31536,139412,31536
2020-04-29-02-00-00,145188,31536,139412,31536
2020-04-29-03-00-00,145503,31584,139721,31584
2020-04-29-04-00-00,145503,31584,139721,31584
2020-04-29-05-00-00,145625,31591,139818,31591
2020-04-29-06-00-00,145625,31591,139818,31591
2020-04-29-07-00-00,145794,31611,139996,31611
2020-04-29-08-00-00,145794,31611,139996,31611
2020-04-29-09-00-00,146153,31631,140365,31631
2020-04-29-10-00-00,146153,31631,140365,31631
2020-04-29-11-00-00,146596,31680,140794,31680
2020-04-29-12-00-00,146596,31680,140794,31680
2020-04-29-13-00-00,147142,31748,141337,31748
2020-04-29-14-00-00,147142,31748,141337,31748
2020-04-29-15-00-00,147613,31789,141804,31789
2020-04-29-16-00-00,147613,31789,141804,31789
2020-04-29-17-00-00,147986,31845,142162,31845
2020-04-29-18-00-00,147986,31845,142162,31845
2020-04-29-19-00-00,148404,31893,142607,31893
2020-04-29-20-00-00,148404,31893,142607,31893
2020-04-29-21-00-00,149254,31964,143492,31964
2020-04-29-22-00-00,149254,31964,143492,31964
2020-04-29-23-00-00,150960,32058,144911,32058
2020-04-30-00-00-00,150960,32058,144911,32058
2020-04-30-01-00-00,152527,32175,146484,32175
2020-04-30-02-00-00,152527,32175,146484,32175
2020-04-30-03-00-00,152859,32221,146807,32221
2020-04-30-04-00-00,152859,32221,146807,32221
2020-04-30-05-00-00,152999,32239,146904,32239
2020-04-30-06-00-00,152999,32239,146904,32239
2020-04-30-07-00-00,153218,32256,147158,32256
2020-04-30-08-00-00,153218,32256,147158,32256
2020-04-30-09-00-00,153622,32291,147527,32291
2020-04-30-10-00-00,153622,32291,147527,32291
2020-04-30-11-00-00,153969,32316,147836,32316
2020-04-30-12-00-00,153969,32316,147836,32316
2020-04-30-13-00-00,154448,32400,148289,32400
2020-04-30-14-00-00,154448,32400,148289,32400
2020-04-30-15-00-00,154830,32471,148660,32471
2020-04-30-16-00-00,154830,32471,148660,32471
2020-04-30-17-00-00,155308,32522,149093,32522
2020-04-30-18-00-00,155308,32522,149093,32522
2020-04-30-19-00-00,155821,32585,149621,32585
2020-04-30-20-00-00,155821,32585,149621,32585
2020-04-30-21-00-00,156984,32657,150594,32657
2020-04-30-22-00-00,156984,32657,150594,32657
2020-04-30-23-00-00,158801,32750,152205,32750
2020-05-01-00-00-00,158801,32750,152205,32750
2020-05-01-01-00-00,160489,32880,153670,32880
2020-05-01-02-00-00,160489,32880,153670,32880
2020-05-01-03-00-00,160997,32942,154156,32942
2020-05-01-04-00-00,160997,32942,154156,32942
2020-05-01-05-00-00,161172,32965,154311,32965
2020-05-01-06-00-00,161172,32965,154311,32965
2020-05-01-07-00-00,161428,32987,154585,32987
2020-05-01-08-00-00,161428,32987,154585,32987
2020-05-01-09-00-00,161906,33018,155074,33018
2020-05-01-10-00-00,161906,33018,155074,33018
2020-05-01-11-00-00,162367,33053,155532,33053
2020-05-01-12-00-00,162367,33053,155532,33053
2020-05-01-13-00-00,162859,33100,156016,33100
2020-05-01-14-00-00,162859,33100,156016,33100
2020-05-01-15-00-00,163265,33148,156460,33148
2020-05-01-16-00-00,163265,33148,156460,33148
2020-05-01-17-00-00,163813,33235,157032,33235
2020-05-01-18-00-00,163813,33235,157032,33235
2020-05-01-19-00-00,164336,33318,157589,33318
2020-05-01-20-00-00,164336,33318,157589,33318
2020-05-01-21-00-00,165488,33422,158644,33422
2020-05-01-22-00-00,165488,33422,158644,33422
2020-05-01-23-00-00,167519,33525,160206,33525
2020-05-02-00-00-00,167519,33525,160206,33525
2020-05-02-01-00-00,169269,33723,161969,33723
2020-05-02-02-00-00,169269,33723,161969,33723
2020-05-02-03-00-00,169819,33844,162522,33844
2020-05-02-04-00-00,169819,33844,162522,33844
2020-05-02-05-00-00,170020,33878,162720,33878
2020-05-02-06-00-00,170020,33878,162720,33878
2020-05-02-07-00-00,170278,33911,162999,33911
2020-05-02-08-00-00,170278,33911,162999,33911
2020-05-02-09-00-00,170772,33963,163486,33963
2020-05-02-10-00-00,170772,33963,163486,33963
2020-05-02-11-00-00,171331,34030,164099,34030
2020-05-02-12-00-00,171331,34030,164099,34030
2020-05-02-13-00-00,171962,34120,164749,34120
2020-05-02-14-00-00,171962,34120,164749,34120
2020-05-02-15-00-00,172412,34179,165241,34179
2020-05-02-16-00-00,172412,34179,165241,34179
2020-05-02-17-00-00,172913,34252,165847,34252
2020-05-02-18-00-00,172913,34252,165847,34252
2020-05-02-19-00-00,173410,34314,166404,34314
2020-05-02-20-00-00,173410,34314,166404,34314
2020-05-02-21-00-00,174354,34408,167462,34408
2020-05-02-22-00-00,174354,34408,167462,34408
2020-05-02-23-00-00,175853,34516,168785,34516
2020-05-03-00-00-00,175853,34516,168785,34516
2020-05-03-01-00-00,177239,34651,170063,34651
2020-05-03-02-00-00,177239,34651,170063,34651
