idolId,users,tweets,favs,retweets
72,371,961,1459,143
144,117,329,221,23
31,243,603,659,32
164,0,0,0,0
143,0,0,0,0
29,144,277,99,3
52,162,290,252,1
92,2991,8573,8832,228
127,0,0,0,0
54,0,0,0,0
104,756,2348,2638,203
76,0,0,0,0
65,370,893,1550,125
51,205,432,478,317
13,0,0,0,0
20,1085,3974,3601,133
99,114,226,26,3
27,0,0,0,0
184,0,0,0,0
200,1175,2417,4233,417
6,1839,8325,21708,667
47,122,248,191,9
150,0,0,0,0
116,322,867,645,27
113,366,1103,1699,224
16,109,253,122,2
155,182,404,409,12
151,219,484,550,126
153,0,0,0,0
124,1330,4243,11625,1361
21,87,139,114,4
146,0,0,0,0
53,188,351,224,9
26,669,1788,968,357
24,478,1066,1192,267
122,1005,2588,3763,418
12,0,0,0,0
9,409,1359,3271,975
66,0,0,0,0
158,0,0,0,0
75,0,0,0,0
74,0,0,0,0
73,0,0,0,0
98,0,0,0,0
115,110,270,114,3
187,121,293,131,24
186,0,0,0,0
149,0,0,0,0
83,323,852,745,98
138,0,0,0,0
190,119,261,592,300
70,149,295,302,26
132,2123,6475,6523,477
48,247,746,962,79
55,1479,6283,7282,1076
58,705,1683,1380,42
56,278,725,754,14
68,1172,3732,4425,97
1001,0,0,0,0
102,138,244,165,58
57,833,3064,6576,108
50,0,0,0,0
154,0,0,0,0
33,0,0,0,0
11,0,0,0,0
188,461,1351,1023,40
95,44,115,50,33
34,1766,5223,4226,223
140,268,574,312,20
196,478,1231,3539,168
49,201,473,414,18
89,0,0,0,0
59,0,0,0,0
15,0,0,0,0
80,0,0,0,0
105,0,0,0,0
198,0,0,0,0
141,143,307,58,4
162,1682,3827,5999,922
5,0,0,0,0
120,0,0,0,0
110,81,171,56,3
67,0,0,0,0
1,0,0,0,0
195,227,591,453,123
63,0,0,0,0
114,0,0,0,0
1002,0,0,0,0
168,0,0,0,0
169,0,0,0,0
185,164,376,514,17
38,205,408,312,27
205,2891,7421,3607,453
19,0,0,0,0
103,120,390,168,6
170,368,930,2325,807
175,173,387,78,19
97,0,0,0,0
71,174,316,81,6
133,0,0,0,0
96,1623,5029,5871,1365
135,0,0,0,0
78,0,0,0,0
88,0,0,0,0
39,215,524,261,6
204,3654,9446,8473,193
194,233,553,403,29
77,735,2177,4299,1081
173,0,0,0,0
41,0,0,0,0
2,0,0,0,0
17,1060,2990,2350,170
174,0,0,0,0
136,616,2509,4873,501
118,939,2797,3199,105
197,0,0,0,0
191,0,0,0,0
117,215,578,820,48
160,147,282,161,9
85,0,0,0,0
131,0,0,0,0
61,215,505,703,294
165,141,295,284,37
82,365,962,1577,244
166,68,104,32,2
192,0,0,0,0
64,0,0,0,0
123,0,0,0,0
62,835,2873,3155,406
100,270,642,246,5
1003,0,0,0,0
1004,0,0,0,0
171,0,0,0,0
147,0,0,0,0
40,252,504,128,6
4,672,1762,849,183
119,1230,4220,8079,264
23,0,0,0,0
84,0,0,0,0
35,0,0,0,0
87,406,911,877,16
93,298,596,132,10
101,0,0,0,0
157,0,0,0,0
159,0,0,0,0
134,0,0,0,0
28,0,0,0,0
176,440,995,392,107
125,801,2404,3756,414
94,0,0,0,0
30,142,363,148,4
69,1650,6696,10405,969
139,459,1271,847,146
161,0,0,0,0
10,73,98,19,0
145,198,559,1136,27
79,883,2551,3311,302
86,309,832,682,808
3,0,0,0,0
81,0,0,0,0
8,0,0,0,0
32,0,0,0,0
189,1629,5462,19609,1724
181,0,0,0,0
22,0,0,0,0
193,0,0,0,0
60,201,413,326,6
156,403,958,360,24
7,443,1100,679,20
130,1271,4007,7780,132
37,626,1623,1698,306
126,0,0,0,0
172,0,0,0,0
36,251,525,1128,30
90,2042,5952,4086,247
142,400,1411,3058,268
45,200,427,538,3
14,166,451,222,83
128,0,0,0,0
129,0,0,0,0
25,0,0,0,0
206,0,0,0,0
18,906,2778,2487,273
112,328,694,485,5
163,0,0,0,0
91,1687,5195,8872,547
137,0,0,0,0
167,641,1932,3375,70
121,0,0,0,0
111,830,3229,4772,1020
