idolId,accounts,onlyAccounts,tweets,favs,retweets
72,321,126,782,1305,132
144,102,31,264,213,21
31,199,48,475,573,23
164,0,0,0,0,0
143,0,0,0,0,0
29,122,48,220,93,3
52,122,52,214,195,1
92,2553,1350,6783,5918,209
127,0,0,0,0,0
54,0,0,0,0,0
104,644,268,1822,2029,144
76,0,0,0,0,0
65,325,117,728,1343,119
51,168,58,335,410,261
13,0,0,0,0,0
20,930,470,3186,3299,113
99,91,32,176,23,3
27,0,0,0,0,0
184,0,0,0,0,0
200,976,551,1913,3805,336
6,1636,858,6617,17537,629
47,92,23,187,147,3
150,0,0,0,0,0
116,265,96,692,535,26
113,304,133,846,1321,149
16,90,22,197,111,2
155,152,47,330,376,11
151,179,69,366,503,116
153,0,0,0,0,0
124,1170,576,3441,10108,1242
21,72,9,119,111,4
146,0,0,0,0,0
53,143,35,259,179,3
26,580,296,1470,926,321
24,417,194,886,1157,266
122,836,304,1992,3133,370
12,0,0,0,0,0
9,343,169,1107,2913,877
66,0,0,0,0,0
158,0,0,0,0,0
75,0,0,0,0,0
74,0,0,0,0,0
73,0,0,0,0,0
98,0,0,0,0,0
115,85,21,218,108,3
187,102,39,238,126,24
186,0,0,0,0,0
149,0,0,0,0,0
83,282,123,692,727,93
138,0,0,0,0,0
190,100,32,208,565,291
70,128,37,238,280,25
132,1814,961,5209,6090,413
48,203,94,578,850,67
55,1329,547,4989,6028,803
58,615,294,1372,1280,33
56,242,95,584,682,12
68,1023,485,2945,3805,86
1001,0,0,0,0,0
102,114,32,197,158,56
57,711,311,2425,5997,93
50,0,0,0,0,0
154,0,0,0,0,0
33,0,0,0,0,0
11,0,0,0,0,0
188,403,159,1092,946,30
95,32,4,84,38,24
34,1514,752,4265,3955,209
140,209,64,444,254,10
196,414,160,1018,3259,168
49,162,67,368,355,17
89,0,0,0,0,0
59,0,0,0,0,0
15,0,0,0,0,0
80,0,0,0,0,0
105,0,0,0,0,0
198,0,0,0,0,0
141,125,30,249,52,4
162,1485,786,3169,5516,866
5,0,0,0,0,0
120,0,0,0,0,0
110,66,20,128,52,2
67,0,0,0,0,0
1,0,0,0,0,0
195,192,64,470,409,122
63,0,0,0,0,0
114,0,0,0,0,0
1002,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
185,145,24,310,498,17
38,175,34,337,298,27
205,2506,1201,5928,3167,379
19,0,0,0,0,0
103,103,37,307,155,6
170,320,141,782,2176,799
175,147,46,314,68,15
97,0,0,0,0,0
71,135,58,245,72,5
133,0,0,0,0,0
96,1419,713,4008,5157,1209
135,0,0,0,0,0
78,0,0,0,0,0
88,0,0,0,0,0
39,184,48,419,241,5
204,3210,1518,7612,7681,179
194,190,43,421,345,7
77,649,319,1773,3854,942
173,0,0,0,0,0
41,0,0,0,0,0
2,0,0,0,0,0
17,906,391,2408,2180,157
174,0,0,0,0,0
136,552,262,2004,4229,429
118,794,345,2151,2380,87
197,0,0,0,0,0
191,0,0,0,0,0
117,194,66,456,784,42
160,129,47,238,148,9
85,0,0,0,0,0
131,0,0,0,0,0
61,178,62,418,674,291
165,110,28,219,260,35
82,327,74,777,1465,234
166,54,14,81,29,2
192,0,0,0,0,0
64,0,0,0,0,0
123,0,0,0,0,0
62,735,319,2317,2918,374
100,243,107,531,233,5
1003,0,0,0,0,0
1004,0,0,0,0,0
171,0,0,0,0,0
147,0,0,0,0,0
40,205,61,394,117,5
4,573,246,1433,749,155
119,1077,470,3379,7271,233
23,0,0,0,0,0
84,0,0,0,0,0
35,0,0,0,0,0
87,326,110,703,772,14
93,247,113,467,116,8
101,0,0,0,0,0
157,0,0,0,0,0
159,0,0,0,0,0
134,0,0,0,0,0
28,0,0,0,0,0
176,375,118,799,352,95
125,700,250,1979,3447,408
94,0,0,0,0,0
30,124,50,294,138,3
69,1448,715,5372,9536,876
139,371,110,969,623,93
161,0,0,0,0,0
10,62,15,76,11,0
145,154,36,420,898,26
79,775,345,2068,3132,297
86,262,102,648,618,702
3,0,0,0,0,0
81,0,0,0,0,0
8,0,0,0,0,0
32,0,0,0,0,0
189,1298,648,4122,7244,579
181,0,0,0,0,0
22,0,0,0,0,0
193,0,0,0,0,0
60,168,36,331,322,6
156,354,176,790,331,23
7,365,147,875,591,18
130,1119,589,3208,7133,126
37,507,158,1228,1567,300
126,0,0,0,0,0
172,0,0,0,0,0
36,201,90,393,967,16
90,1752,990,4774,3629,216
142,347,104,1116,2634,212
45,164,54,345,495,2
14,142,33,376,209,83
128,0,0,0,0,0
129,0,0,0,0,0
25,0,0,0,0,0
206,0,0,0,0,0
18,773,360,2195,2069,165
112,281,116,573,460,5
163,0,0,0,0,0
91,1462,774,4188,7997,511
137,0,0,0,0,0
167,559,262,1545,2899,70
121,0,0,0,0,0
111,724,301,2586,4164,929
