idolId,accounts,onlyAccounts,tweets,favs,retweets
72,448,163,1273,1986,255
144,150,36,414,255,26
31,282,54,747,711,34
164,0,0,0,0,0
143,0,0,0,0,0
29,167,61,343,110,4
52,200,66,374,295,5
92,3656,1735,11022,10568,307
127,0,0,0,0,0
54,0,0,0,0,0
104,998,320,3156,2900,231
76,0,0,0,0,0
65,484,138,1188,1929,144
51,249,65,567,602,391
13,0,0,0,0,0
20,1339,552,5121,4251,157
99,135,40,268,32,4
27,0,0,0,0,0
184,0,0,0,0,0
200,1395,724,3034,4783,470
6,2270,1036,10966,26857,728
47,152,26,310,197,9
150,0,0,0,0,0
116,389,115,1101,883,32
113,440,158,1447,2034,310
16,136,25,328,174,11
155,237,65,538,602,45
151,255,87,625,591,133
153,0,0,0,0,0
124,1608,677,5406,13581,1477
21,101,11,165,119,4
146,0,0,0,0,0
53,216,41,434,251,10
26,771,376,2230,1058,428
24,555,218,1332,1274,305
122,1158,370,3242,4122,449
12,0,0,0,0,0
9,560,203,1806,4251,1253
66,0,0,0,0,0
158,0,0,0,0,0
75,0,0,0,0,0
74,0,0,0,0,0
73,0,0,0,0,0
98,0,0,0,0,0
115,136,30,347,118,4
187,264,44,538,300,28
186,0,0,0,0,0
149,0,0,0,0,0
83,380,157,1046,781,101
138,0,0,0,0,0
190,214,35,416,639,306
70,181,39,373,345,30
132,2470,1215,8119,8080,982
48,300,114,938,1046,84
55,1839,609,8259,10474,1499
58,824,337,2095,1462,43
56,353,115,942,1144,18
68,1378,595,4856,5881,127
1001,0,0,0,0,0
102,160,43,294,178,58
57,993,353,3969,7707,276
50,0,0,0,0,0
154,0,0,0,0,0
33,0,0,0,0,0
11,0,0,0,0,0
188,532,192,1679,1213,50
95,61,9,159,71,49
34,2069,926,6622,5510,253
140,312,74,718,332,23
196,548,184,1551,4373,228
49,245,83,603,477,19
89,0,0,0,0,0
59,0,0,0,0,0
15,0,0,0,0,0
80,0,0,0,0,0
105,0,0,0,0,0
198,0,0,0,0,0
141,166,35,414,79,4
162,2041,986,4830,7322,1201
5,0,0,0,0,0
120,0,0,0,0,0
110,100,22,216,62,4
67,0,0,0,0,0
1,0,0,0,0,0
195,290,79,784,572,161
63,0,0,0,0,0
114,0,0,0,0,0
1002,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
185,200,27,464,533,19
38,241,44,516,332,28
205,3433,1528,9380,4192,533
19,0,0,0,0,0
103,153,43,521,201,8
170,430,172,1191,2938,1016
175,209,52,485,81,19
97,0,0,0,0,0
71,228,79,427,134,19
133,0,0,0,0,0
96,1961,904,6454,6403,1506
135,0,0,0,0,0
78,0,0,0,0,0
88,0,0,0,0,0
39,267,58,705,347,39
204,4254,1875,11838,9327,258
194,288,53,701,444,45
77,884,375,2798,5313,1381
173,0,0,0,0,0
41,0,0,0,0,0
2,0,0,0,0,0
17,1217,472,3662,2550,208
174,0,0,0,0,0
136,807,294,3299,5720,599
118,1119,415,3507,3612,124
197,0,0,0,0,0
191,0,0,0,0,0
117,248,71,730,865,49
160,181,53,363,188,9
85,0,0,0,0,0
131,0,0,0,0,0
61,269,81,648,785,326
165,173,37,386,310,40
82,424,83,1198,1710,248
166,87,20,136,33,3
192,0,0,0,0,0
64,0,0,0,0,0
123,0,0,0,0,0
62,974,382,3606,3320,434
100,310,120,781,270,5
1003,0,0,0,0,0
1004,0,0,0,0,0
171,0,0,0,0,0
147,0,0,0,0,0
40,297,76,623,135,8
4,808,302,2234,988,216
119,1431,543,5303,9359,321
23,0,0,0,0,0
84,0,0,0,0,0
35,0,0,0,0,0
87,588,153,1280,965,19
93,361,139,739,149,11
101,0,0,0,0,0
157,0,0,0,0,0
159,0,0,0,0,0
134,0,0,0,0,0
28,0,0,0,0,0
176,493,120,1201,412,107
125,967,304,3019,4368,543
94,0,0,0,0,0
30,261,64,541,167,8
69,1987,829,8512,12227,1090
139,512,134,1552,1005,176
161,0,0,0,0,0
10,129,18,168,104,0
145,241,45,716,1406,29
79,1023,424,3234,3649,307
86,454,120,1143,759,1008
3,0,0,0,0,0
81,0,0,0,0,0
8,0,0,0,0,0
32,0,0,0,0,0
189,1912,806,6935,31897,2566
181,0,0,0,0,0
22,0,0,0,0,0
193,0,0,0,0,0
60,251,41,529,369,21
156,515,214,1259,417,34
7,516,179,1359,766,20
130,1512,737,5290,9514,150
37,834,233,2307,2044,367
126,0,0,0,0,0
172,0,0,0,0,0
36,315,110,674,1229,32
90,2493,1252,7667,5301,323
142,469,111,1774,3542,330
45,238,65,528,576,3
14,277,35,644,270,106
128,0,0,0,0,0
129,0,0,0,0,0
25,0,0,0,0,0
206,0,0,0,0,0
18,1067,421,3519,2973,360
112,414,143,914,542,10
163,0,0,0,0,0
91,2086,952,6680,11896,761
137,0,0,0,0,0
167,758,318,2538,4501,160
121,0,0,0,0,0
111,1044,361,4171,5746,1119
