idolId,users,tweets,favs,retweets
72,465,1324,2012,256
144,154,427,259,27
31,291,774,719,35
164,0,0,0,0
143,0,0,0,0
29,173,358,111,4
52,207,387,298,5
92,3789,11552,11029,344
127,0,0,0,0
54,0,0,0,0
104,1025,3274,2933,233
76,0,0,0,0
65,507,1248,1998,144
51,259,594,618,405
13,0,0,0,0
20,1382,5345,4313,164
99,137,273,32,4
27,0,0,0,0
184,0,0,0,0
200,1443,3155,4934,474
6,2339,11468,27608,736
47,158,324,197,9
150,0,0,0,0
116,398,1145,890,32
113,463,1520,2078,319
16,142,346,175,11
155,245,559,613,45
151,267,655,608,136
153,0,0,0,0
124,1672,5657,14171,1529
21,104,171,120,4
146,0,0,0,0
53,226,454,258,10
26,792,2319,1072,428
24,576,1393,1299,306
122,1218,3439,4488,468
12,0,0,0,0
9,571,1901,4441,1327
66,0,0,0,0
158,0,0,0,0
75,0,0,0,0
74,0,0,0,0
73,0,0,0,0
98,0,0,0,0
115,138,359,119,4
187,272,555,301,28
186,0,0,0,0
149,0,0,0,0
83,393,1088,786,102
138,0,0,0,0
190,221,432,645,307
70,187,387,354,30
132,2552,8482,8278,1009
48,307,984,1086,85
55,1909,8657,10901,1514
58,852,2203,1477,44
56,365,983,1162,19
68,1421,5110,6162,132
1001,0,0,0,0
102,169,311,179,58
57,1030,4151,7835,281
50,0,0,0,0
154,0,0,0,0
33,0,0,0,0
11,0,0,0,0
188,543,1744,1222,50
95,64,169,74,51
34,2130,6868,5566,262
140,316,736,333,23
196,569,1614,4430,228
49,267,645,505,19
89,0,0,0,0
59,0,0,0,0
15,0,0,0,0
80,0,0,0,0
105,0,0,0,0
198,0,0,0,0
141,175,432,80,4
162,2102,5007,7402,1204
5,0,0,0,0
120,0,0,0,0
110,106,226,65,4
67,0,0,0,0
1,0,0,0,0
195,301,833,585,162
63,0,0,0,0
114,0,0,0,0
1002,0,0,0,0
168,0,0,0,0
169,0,0,0,0
185,208,487,541,19
38,263,581,439,65
205,3566,9805,4265,538
19,0,0,0,0
103,161,550,205,8
170,445,1233,2978,1022
175,215,511,86,19
97,0,0,0,0
71,232,437,139,19
133,0,0,0,0
96,2070,6873,6734,1639
135,0,0,0,0
78,0,0,0,0
88,0,0,0,0
39,275,735,354,39
204,4374,12283,9557,267
194,301,733,446,45
77,902,2893,5448,1443
173,0,0,0,0
41,0,0,0,0
2,0,0,0,0
17,1250,3807,2572,208
174,0,0,0,0
136,826,3433,5853,624
118,1176,3708,3746,130
197,0,0,0,0
191,0,0,0,0
117,260,752,866,49
160,186,380,190,9
85,0,0,0,0
131,0,0,0,0
61,277,665,790,326
165,181,402,316,40
82,438,1252,1734,248
166,90,142,33,3
192,0,0,0,0
64,0,0,0,0
123,0,0,0,0
62,1007,3764,3346,435
100,314,809,275,5
1003,0,0,0,0
1004,0,0,0,0
171,0,0,0,0
147,0,0,0,0
40,309,651,135,8
4,833,2329,994,218
119,1483,5525,9477,328
23,0,0,0,0
84,0,0,0,0
35,0,0,0,0
87,611,1351,984,19
93,390,788,205,18
101,0,0,0,0
157,0,0,0,0
159,0,0,0,0
134,0,0,0,0
28,0,0,0,0
176,510,1240,415,107
125,1007,3191,4677,549
94,0,0,0,0
30,266,559,168,8
69,2064,8946,12685,1124
139,530,1611,1027,184
161,0,0,0,0
10,134,174,105,0
145,257,760,1505,53
79,1054,3388,3735,310
86,466,1191,768,1028
3,0,0,0,0
81,0,0,0,0
8,0,0,0,0
32,0,0,0,0
189,1980,7267,34434,2763
181,0,0,0,0
22,0,0,0,0
193,0,0,0,0
60,263,551,371,21
156,527,1306,426,34
7,544,1439,791,20
130,1592,5587,9817,152
37,882,2439,2116,374
126,0,0,0,0
172,0,0,0,0
36,329,710,1261,32
90,2586,8017,5464,332
142,492,1839,3612,338
45,255,575,608,8
14,286,668,278,110
128,0,0,0,0
129,0,0,0,0
25,0,0,0,0
206,0,0,0,0
18,1085,3648,3004,362
112,430,941,544,10
163,0,0,0,0
91,2164,7002,12312,777
137,0,0,0,0
167,785,2677,4664,160
121,0,0,0,0
111,1066,4330,5930,1128
