idolId,users,tweets,favs,retweets
72,390,1069,1547,149
144,130,364,230,24
31,260,653,677,32
164,0,0,0,0
143,0,0,0,0
29,153,303,101,3
52,177,321,270,1
92,3258,9553,9669,266
127,0,0,0,0
54,0,0,0,0
104,818,2655,2800,225
76,0,0,0,0
65,401,1000,1689,131
51,222,485,525,345
13,0,0,0,0
20,1132,4341,3783,138
99,123,246,31,4
27,0,0,0,0
184,0,0,0,0
200,1266,2650,4318,430
6,1937,9267,23404,682
47,131,271,191,9
150,0,0,0,0
116,357,994,845,30
113,398,1266,1902,270
16,128,295,169,11
155,199,446,426,12
151,230,541,568,130
153,0,0,0,0
124,1410,4703,12264,1402
21,95,155,115,4
146,0,0,0,0
53,204,388,235,10
26,720,1986,1036,426
24,507,1157,1202,267
122,1066,2843,3906,427
12,0,0,0,0
9,432,1502,3578,1071
66,0,0,0,0
158,0,0,0,0
75,0,0,0,0
74,0,0,0,0
73,0,0,0,0
98,0,0,0,0
115,122,306,114,3
187,133,323,132,24
186,0,0,0,0
149,0,0,0,0
83,345,919,754,100
138,0,0,0,0
190,126,287,612,304
70,170,336,330,29
132,2275,7140,6823,534
48,274,832,999,81
55,1594,7054,8929,1351
58,771,1859,1410,43
56,304,806,788,14
68,1256,4199,5162,109
1001,0,0,0,0
102,147,263,168,58
57,887,3395,6897,131
50,0,0,0,0
154,0,0,0,0
33,0,0,0,0
11,0,0,0,0
188,490,1479,1093,43
95,51,133,60,40
34,1882,5708,4336,227
140,286,632,325,22
196,504,1346,3693,168
49,220,530,442,18
89,0,0,0,0
59,0,0,0,0
15,0,0,0,0
80,0,0,0,0
105,0,0,0,0
198,0,0,0,0
141,155,359,75,4
162,1818,4209,6299,982
5,0,0,0,0
120,0,0,0,0
110,97,196,59,3
67,0,0,0,0
1,0,0,0,0
195,249,657,475,124
63,0,0,0,0
114,0,0,0,0
1002,0,0,0,0
168,0,0,0,0
169,0,0,0,0
185,183,416,521,17
38,223,454,321,27
205,3102,8258,3940,479
19,0,0,0,0
103,136,450,184,7
170,392,1012,2419,809
175,190,428,79,19
97,0,0,0,0
71,202,360,109,13
133,0,0,0,0
96,1736,5559,6078,1416
135,0,0,0,0
78,0,0,0,0
88,0,0,0,0
39,229,582,277,6
204,3882,10389,8740,201
194,253,602,409,29
77,776,2394,4699,1210
173,0,0,0,0
41,0,0,0,0
2,0,0,0,0
17,1119,3271,2406,173
174,0,0,0,0
136,672,2807,5243,551
118,1000,3053,3432,108
197,0,0,0,0
191,0,0,0,0
117,228,644,844,49
160,160,310,167,9
85,0,0,0,0
131,0,0,0,0
61,232,551,713,294
165,156,336,293,39
82,384,1048,1625,245
166,80,117,33,3
192,0,0,0,0
64,0,0,0,0
123,0,0,0,0
62,900,3170,3230,418
100,286,697,253,5
1003,0,0,0,0
1004,0,0,0,0
171,0,0,0,0
147,0,0,0,0
40,269,555,130,7
4,730,1946,880,191
119,1321,4693,8659,312
23,0,0,0,0
84,0,0,0,0
35,0,0,0,0
87,442,1022,915,17
93,319,654,137,10
101,0,0,0,0
157,0,0,0,0
159,0,0,0,0
134,0,0,0,0
28,0,0,0,0
176,459,1076,396,107
125,876,2662,4006,489
94,0,0,0,0
30,152,400,151,4
69,1753,7382,11149,994
139,483,1380,899,153
161,0,0,0,0
10,80,106,22,0
145,217,619,1239,28
79,938,2839,3433,305
86,332,923,699,858
3,0,0,0,0
81,0,0,0,0
8,0,0,0,0
32,0,0,0,0
189,1754,6088,25082,2126
181,0,0,0,0
22,0,0,0,0
193,0,0,0,0
60,218,455,336,7
156,431,1080,390,32
7,467,1211,718,20
130,1366,4449,8065,136
37,691,1869,1837,348
126,0,0,0,0
172,0,0,0,0
36,283,589,1157,31
90,2190,6590,4409,268
142,425,1546,3223,276
45,213,465,554,3
14,180,493,235,85
128,0,0,0,0
129,0,0,0,0
25,0,0,0,0
206,0,0,0,0
18,972,3086,2733,324
112,356,764,499,5
163,0,0,0,0
91,1801,5674,9469,574
137,0,0,0,0
167,696,2229,4134,147
121,0,0,0,0
111,884,3552,5044,1057
