idolId,accounts,onlyAccounts,tweets,favs,retweets
72,65,30,158,267,33
144,33,13,81,66,12
31,48,12,118,115,15
164,492,268,1502,1305,309
143,327,177,804,258,12
29,43,20,94,31,3
52,47,19,93,97,2
92,562,339,2326,2025,70
127,668,409,1690,1903,335
54,530,235,1484,3023,107
104,136,66,348,368,29
76,422,219,1176,459,82
65,56,18,115,210,15
51,40,19,146,128,75
13,534,281,1652,1619,615
20,294,188,1059,883,28
99,26,7,85,6,0
27,1621,1068,5797,9294,834
184,441,226,973,403,138
200,168,102,463,824,86
6,229,114,919,1631,56
47,30,8,83,47,1
150,70,34,219,289,5
116,59,21,170,142,7
113,81,40,251,223,17
16,19,5,45,12,0
155,30,10,83,33,2
151,60,28,151,138,33
153,267,160,934,1049,303
124,165,86,385,924,100
21,26,4,45,40,0
146,606,346,1359,569,46
53,27,9,57,25,0
26,131,79,537,182,74
24,80,39,217,117,20
122,136,63,418,468,36
12,1151,737,5072,3605,565
9,149,88,584,1256,388
66,546,270,1337,1920,218
158,194,93,502,291,19
75,463,289,1928,1041,103
74,1343,803,4770,4782,2744
73,307,141,806,915,113
98,743,438,1775,667,144
115,25,8,72,21,0
187,37,16,110,38,4
186,382,187,1643,2403,271
149,320,140,1364,865,61
83,83,50,239,209,20
138,380,202,1146,865,61
190,26,11,39,62,34
70,26,2,29,19,1
132,175,92,672,596,51
48,70,39,180,232,14
55,522,279,3086,3248,543
58,122,66,373,225,3
56,39,15,121,129,1
68,195,108,782,691,18
1001,462,129,1244,1209,46
102,26,7,48,29,11
57,66,22,114,223,6
50,1092,771,3731,5162,407
154,292,108,844,1498,196
33,572,310,1844,3953,264
11,781,463,2654,2661,149
188,66,30,202,163,6
95,13,3,45,18,11
34,281,153,989,665,36
140,55,29,126,54,9
196,82,32,192,731,62
49,39,18,74,62,4
89,1439,900,4749,7212,916
59,1271,849,4273,4478,217
15,521,313,1675,1143,39
80,294,145,1033,1380,284
105,547,303,2346,5508,509
198,913,564,2050,1312,141
141,21,6,31,11,2
162,190,119,573,712,126
5,467,222,2049,3100,481
120,419,217,938,242,19
110,26,13,41,23,0
67,671,347,2565,2276,533
1,664,333,1426,715,11
195,63,30,211,184,46
63,542,193,1735,3549,296
114,668,451,1500,532,46
1002,517,165,1179,874,31
168,1107,606,4155,28624,3491
169,256,141,659,505,24
185,36,7,70,80,0
38,43,12,79,99,14
205,280,127,600,328,50
19,419,196,1462,5596,678
103,21,6,47,13,1
170,81,45,247,660,240
175,31,11,104,13,2
97,923,569,2648,3044,189
71,50,34,105,18,0
133,439,199,1491,1100,13
96,253,146,987,1033,302
135,960,494,4032,5389,249
78,754,417,2236,9589,1165
88,784,434,2558,2337,184
39,42,18,139,27,2
204,506,254,1403,1039,35
194,54,24,130,98,11
77,170,98,488,759,193
173,447,177,1586,4095,1354
41,321,154,1399,4656,270
2,449,221,1530,938,95
17,183,104,706,488,14
174,325,156,1270,1624,62
136,134,71,668,1126,99
118,150,85,494,498,17
197,313,106,894,607,109
191,69,23,147,90,9
117,27,8,61,57,2
160,32,15,64,33,1
85,822,462,1983,644,60
131,1000,564,2409,1187,109
61,51,21,111,150,63
165,33,18,107,88,14
82,83,25,215,416,98
166,16,4,27,2,0
192,191,75,670,585,125
64,352,189,796,771,140
123,1090,670,3843,5119,279
62,113,61,384,432,54
100,48,27,100,41,3
1003,840,288,2045,1603,59
1004,751,264,1394,659,25
171,330,157,982,1478,77
147,348,211,911,378,38
40,52,22,143,36,5
4,118,62,322,154,59
119,159,80,478,774,22
23,178,90,396,77,5
84,750,373,3482,1853,58
35,855,597,2346,3172,139
87,82,30,195,129,2
93,58,30,99,43,5
101,2139,1295,9223,9749,603
157,919,568,3119,6382,1289
159,528,304,1658,2158,12
134,539,209,2649,4884,261
28,841,504,2403,2315,163
176,65,14,159,60,22
125,122,54,446,681,58
94,177,87,587,627,39
30,41,22,136,51,1
69,200,86,634,835,64
139,64,27,173,134,30
161,369,189,1402,4623,411
10,34,6,64,8,0
145,38,14,143,327,5
79,141,79,481,497,47
86,70,31,189,171,195
3,568,273,2137,4109,66
81,518,249,1403,691,52
8,558,321,1869,2195,659
32,836,523,2301,1072,65
189,232,95,698,2118,164
181,251,158,874,526,79
22,192,72,621,568,29
193,232,126,664,219,26
60,32,14,72,54,0
156,71,36,164,48,3
7,82,42,234,133,6
130,201,117,1088,1993,30
37,98,36,340,335,70
126,857,501,2297,3147,667
172,632,439,1812,1923,38
36,50,25,117,228,9
90,337,212,1141,526,37
142,77,30,253,534,39
45,36,14,50,60,0
14,46,12,155,86,39
128,188,77,606,739,168
129,304,134,621,166,7
25,483,249,1948,9133,467
206,1219,661,2684,2161,103
18,119,57,324,97,14
112,53,23,114,72,4
163,722,382,1856,929,27
91,256,121,806,1247,58
137,429,236,2314,11493,2288
167,103,54,326,742,28
121,220,112,624,1443,316
111,201,120,954,1479,330
