idolId,users,tweets,favs,retweets
72,40,79,182,25
144,22,40,48,6
31,34,71,94,12
164,361,784,967,284
143,205,389,164,6
29,26,45,22,2
52,27,44,43,1
92,427,1182,1037,53
127,461,915,1324,229
54,389,848,2571,83
104,99,196,256,19
76,270,596,284,56
65,41,68,109,12
51,30,63,77,40
13,353,841,1190,512
20,228,581,690,20
99,20,54,6,0
27,1140,2996,7610,470
184,276,478,189,95
200,129,270,576,57
6,181,459,774,54
47,17,41,32,0
150,48,99,215,5
116,39,97,93,5
113,58,125,141,7
16,13,26,9,0
155,18,39,25,0
151,36,75,111,23
153,184,450,630,87
124,118,216,603,72
21,17,28,32,0
146,403,736,376,32
53,19,31,20,0
26,91,242,141,36
24,58,128,73,5
122,89,198,236,7
12,830,2514,1570,114
9,108,287,813,264
66,371,692,1706,213
158,123,231,207,8
75,342,994,739,54
74,877,2214,2789,1576
73,200,421,532,61
98,508,932,528,142
115,19,36,20,0
187,29,56,33,3
186,228,702,1185,127
149,212,605,442,37
83,53,121,186,13
138,263,561,584,15
190,14,17,47,26
70,12,13,6,0
132,133,401,524,37
48,44,85,173,14
55,420,1601,2113,335
58,83,206,172,1
56,29,69,103,1
68,147,392,474,13
1001,318,632,862,28
102,15,24,27,11
57,42,63,165,5
50,759,1780,3199,125
154,216,477,1357,178
33,366,830,1717,141
11,552,1277,1747,110
188,44,97,138,5
95,7,20,10,5
34,215,587,573,34
140,37,62,35,3
196,67,127,631,62
49,29,44,54,3
89,985,2433,5534,824
59,891,2267,3495,164
15,357,805,765,32
80,192,476,891,236
105,401,1176,4104,501
198,611,1141,900,89
141,12,13,8,2
162,148,321,509,77
5,359,1059,1959,464
120,280,499,161,12
110,16,24,19,0
67,423,1195,1485,440
1,420,744,465,7
195,36,93,119,27
63,383,912,2356,185
114,482,864,384,33
1002,379,656,658,18
168,731,2113,21527,3217
169,161,308,305,9
185,23,43,59,0
38,36,53,97,13
205,182,323,202,43
19,307,775,4594,620
103,15,20,10,1
170,53,136,404,138
175,24,53,11,2
97,609,1384,2190,139
71,33,57,16,0
133,260,637,437,6
96,184,482,737,195
135,717,2036,3738,148
78,560,1213,6894,822
88,542,1328,1314,40
39,24,57,16,2
204,324,692,656,17
194,35,72,66,0
77,124,265,481,83
173,299,766,2659,939
41,222,654,2849,203
2,288,735,580,42
17,136,407,293,1
174,250,679,1064,33
136,104,337,690,73
118,104,229,231,11
197,230,528,458,82
191,41,75,52,5
117,18,37,50,0
160,27,36,30,1
85,463,923,387,39
131,712,1373,883,79
61,29,56,102,46
165,25,55,75,12
82,60,116,342,90
166,10,15,2,0
192,140,352,425,115
64,253,494,692,130
123,751,1939,3696,194
62,78,197,346,37
100,36,71,37,2
1003,594,1121,921,45
1004,505,784,547,24
171,218,453,769,47
147,235,486,282,32
40,36,78,31,2
4,81,177,105,29
119,116,281,547,7
23,120,220,58,5
84,558,1748,1415,44
35,555,1154,2059,91
87,47,83,81,0
93,35,50,27,1
101,1563,4650,5675,348
157,648,1560,4396,860
159,339,783,1181,8
134,361,1216,2935,127
28,582,1238,1503,141
176,43,77,48,16
125,92,246,440,32
94,111,279,385,23
30,30,85,41,1
69,138,338,605,41
139,43,96,73,11
161,265,677,3424,360
10,18,29,2,0
145,20,68,193,2
79,87,241,397,38
86,49,113,154,158
3,408,1118,2439,46
81,345,720,327,23
8,395,941,1290,442
32,576,1269,817,59
189,161,386,900,85
181,166,419,312,71
22,143,330,435,19
193,169,367,166,22
60,25,43,54,0
156,49,95,28,2
7,61,129,104,5
130,140,481,1265,13
37,62,162,266,60
126,588,1193,2202,382
172,435,945,1505,29
36,32,62,168,3
90,254,625,390,30
142,58,127,366,28
45,23,30,51,0
14,28,71,72,35
128,141,341,635,164
129,198,364,97,3
25,329,964,7200,334
206,764,1341,1536,69
18,86,190,64,6
112,34,62,66,4
163,475,981,571,16
91,189,475,1019,44
137,301,1024,5936,1380
167,71,183,428,13
121,153,331,841,154
111,145,500,971,241
