idolId,users,tweets,favs,retweets
72,54,118,230,32
144,28,62,59,11
31,43,95,102,14
164,418,1109,1096,292
143,242,538,193,6
29,32,66,29,3
52,34,62,59,2
92,486,1699,1392,66
127,549,1257,1651,294
54,444,1109,2815,93
104,113,251,277,20
76,352,881,402,75
65,48,87,167,14
51,36,100,96,52
13,421,1153,1305,552
20,258,804,795,22
99,22,67,6,0
27,1307,4107,8175,690
184,338,685,251,102
200,143,352,757,77
6,202,656,1200,54
47,25,59,40,0
150,54,146,239,5
116,43,122,98,5
113,66,171,183,11
16,16,35,9,0
155,22,57,30,2
151,49,116,128,31
153,206,624,747,102
124,130,273,729,83
21,20,34,37,0
146,494,988,462,37
53,23,38,23,0
26,106,369,154,39
24,70,176,112,20
122,111,296,340,20
12,963,3659,2834,349
9,126,414,982,313
66,443,963,1782,215
158,144,333,227,11
75,400,1433,910,87
74,1051,3298,3733,2126
73,251,583,727,92
98,607,1260,612,144
115,23,55,20,0
187,31,78,37,4
186,308,1185,2052,232
149,248,900,597,39
83,65,180,202,17
138,308,811,672,38
190,19,23,54,30
70,19,21,12,0
132,148,529,572,48
48,53,125,195,14
55,462,2183,2407,372
58,107,287,198,3
56,34,89,114,1
68,164,549,554,15
1001,378,890,1019,35
102,21,37,29,11
57,51,86,196,6
50,903,2616,4270,303
154,257,645,1451,189
33,442,1242,2566,197
11,643,1880,2251,134
188,56,138,149,5
95,9,29,12,5
34,242,777,632,36
140,44,89,41,7
196,73,152,676,62
49,34,59,58,4
89,1136,3320,6243,870
59,1067,3143,4030,197
15,417,1177,979,36
80,238,721,1080,266
105,468,1696,4720,504
198,744,1556,1171,129
141,15,18,11,2
162,162,418,581,87
5,402,1515,2639,477
120,344,694,203,14
110,22,32,21,0
67,522,1767,1947,516
1,518,1011,554,10
195,54,159,161,46
63,452,1255,2893,236
114,556,1119,463,41
1002,441,883,770,27
168,858,2937,23576,3253
169,200,451,407,13
185,29,56,76,0
38,39,67,99,14
205,228,434,289,47
19,354,1080,5124,650
103,20,38,12,1
170,61,175,465,138
175,27,78,12,2
97,740,1923,2622,144
71,40,78,16,0
133,348,992,959,10
96,217,714,860,238
135,833,2907,4531,177
78,637,1627,8306,1028
88,638,1816,1500,47
39,32,99,21,2
204,421,1015,896,31
194,35,85,67,0
77,145,362,624,147
173,354,1103,3260,1069
41,285,983,3838,253
2,328,1000,637,47
17,152,537,410,8
174,282,941,1276,41
136,116,476,929,90
118,115,332,297,12
197,263,691,542,97
191,48,101,53,5
117,19,47,51,0
160,28,51,32,1
85,546,1258,442,40
131,819,1791,1003,85
61,45,88,146,63
165,27,71,79,12
82,70,159,379,96
166,11,18,2,0
192,156,485,483,116
64,296,629,719,130
123,900,2780,4306,215
62,98,291,400,50
100,41,88,41,3
1003,697,1523,1281,56
1004,598,1026,582,24
171,278,680,1122,69
147,275,663,322,32
40,47,116,34,5
4,97,228,114,33
119,136,370,696,20
23,145,289,67,5
84,642,2476,1576,50
35,649,1558,2401,102
87,65,127,90,2
93,46,71,35,3
101,1804,6541,7390,423
157,769,2251,5661,1136
159,407,1122,1274,8
134,429,1788,3708,179
28,710,1761,1970,152
176,55,113,55,19
125,108,352,592,54
94,137,405,478,27
30,37,110,45,1
69,171,478,731,54
139,52,125,94,16
161,311,996,3928,400
10,24,42,2,0
145,30,107,256,5
79,122,351,473,43
86,57,141,164,171
3,455,1455,2643,53
81,414,1009,552,38
8,478,1342,1735,559
32,671,1708,906,61
189,184,512,997,92
181,200,598,417,76
22,168,463,496,24
193,193,491,187,22
60,29,60,54,0
156,57,119,38,2
7,70,172,120,6
130,162,749,1572,14
37,78,233,296,66
126,684,1646,2346,418
172,524,1330,1709,35
36,40,84,195,3
90,284,861,446,30
142,65,184,437,29
45,30,40,56,0
14,36,103,77,37
128,163,458,690,166
129,237,479,123,4
25,400,1399,8078,397
206,971,1915,1868,94
18,102,256,75,8
112,41,86,68,4
163,598,1356,810,22
91,217,622,1122,56
137,349,1541,8163,1786
167,86,238,499,13
121,173,430,936,155
111,174,706,1215,295
