idolId,accounts,onlyAccounts,tweets,favs,retweets
72,58,26,127,235,33
144,28,12,68,62,12
31,43,14,100,102,14
164,434,247,1207,1173,295
143,258,140,602,219,8
29,36,18,75,29,3
52,36,13,67,68,2
92,512,324,1874,1506,68
127,588,359,1376,1754,308
54,463,218,1207,2876,96
104,118,65,272,279,20
76,370,200,954,407,75
65,48,17,91,177,14
51,37,17,112,108,60
13,449,254,1273,1342,564
20,269,175,879,813,22
99,22,7,73,6,0
27,1383,950,4485,8278,708
184,369,206,759,261,102
200,148,87,375,760,77
6,209,109,730,1349,55
47,26,8,65,40,0
150,59,32,167,251,5
116,48,25,133,100,5
113,69,37,193,190,11
16,16,5,36,9,0
155,24,11,65,31,2
151,51,27,127,132,31
153,230,144,736,1002,292
124,140,74,303,792,86
21,21,3,39,39,0
146,525,306,1078,481,38
53,24,8,42,24,0
26,113,73,421,158,44
24,71,37,187,114,20
122,115,61,317,346,20
12,1005,692,4005,2899,350
9,135,83,453,1034,332
66,465,246,1062,1809,215
158,150,80,365,233,12
75,422,272,1569,959,96
74,1143,718,3772,4105,2343
73,267,132,630,763,92
98,634,380,1394,624,144
115,23,8,58,20,0
187,32,14,86,37,4
186,328,179,1318,2162,242
149,261,129,1004,674,40
83,70,41,195,203,17
138,328,186,912,798,48
190,22,11,28,60,32
70,20,2,23,14,0
132,159,86,576,578,49
48,56,36,134,200,14
55,476,269,2406,2499,384
58,113,65,307,204,3
56,35,13,101,123,1
68,175,100,611,591,16
1001,396,113,968,1073,36
102,22,7,38,29,11
57,54,21,93,198,6
50,946,684,2874,4408,306
154,268,101,699,1469,192
33,519,290,1489,3310,257
11,669,427,2067,2341,135
188,56,28,154,151,5
95,9,2,32,14,7
34,251,146,842,645,36
140,44,26,95,41,7
196,76,30,164,693,62
49,34,18,63,59,4
89,1226,781,3731,6537,878
59,1120,763,3439,4133,199
15,437,270,1310,1057,39
80,263,131,846,1326,283
105,486,280,1887,4974,504
198,788,492,1665,1196,133
141,16,5,21,11,2
162,169,110,457,619,96
5,417,211,1657,2749,479
120,361,191,761,214,14
110,24,12,35,21,0
67,543,297,1937,1994,516
1,531,294,1079,569,10
195,57,29,169,163,46
63,471,172,1366,3028,246
114,589,397,1217,485,41
1002,462,149,963,812,31
168,906,525,3216,24074,3265
169,210,116,502,434,16
185,32,7,60,77,0
38,39,12,70,99,14
205,242,106,483,319,48
19,364,180,1168,5242,654
103,20,6,40,12,1
170,70,43,214,615,239
175,27,9,87,12,2
97,768,502,2076,2664,144
71,42,29,86,16,0
133,370,173,1115,1002,11
96,227,137,798,925,264
135,860,458,3203,4790,186
78,664,373,1776,8708,1085
88,664,381,1971,1574,48
39,36,17,113,24,2
204,446,225,1113,951,32
194,39,17,93,67,0
77,151,88,392,656,161
173,372,158,1234,3487,1133
41,291,141,1080,3981,255
2,368,197,1179,785,52
17,162,94,590,457,11
174,295,147,1059,1497,60
136,119,75,534,1000,97
118,118,77,364,314,13
197,284,103,745,567,105
191,55,20,117,73,9
117,20,9,50,51,0
160,28,14,53,32,1
85,650,381,1511,574,59
131,860,488,1949,1044,85
61,46,19,93,146,63
165,27,16,79,80,12
82,72,25,173,382,96
166,14,5,22,2,0
192,161,72,529,499,117
64,311,177,683,741,134
123,946,596,3048,4455,222
62,101,57,315,408,50
100,44,26,92,41,3
1003,728,255,1639,1338,56
1004,640,231,1116,611,25
171,283,140,741,1198,73
147,287,180,723,329,32
40,48,18,125,35,5
4,106,59,274,142,50
119,144,77,410,723,20
23,155,84,314,68,5
84,666,344,2736,1641,53
35,695,491,1733,2513,104
87,73,29,149,119,2
93,48,26,76,37,3
101,1896,1209,7230,7710,457
157,810,513,2490,5962,1220
159,448,265,1268,1536,9
134,458,181,2043,4209,212
28,744,451,1934,2072,156
176,58,13,124,55,19
125,109,49,372,610,54
94,144,76,449,526,27
30,38,22,113,48,1
69,175,74,517,756,55
139,54,24,137,101,18
161,324,169,1100,4083,403
10,24,6,45,2,0
145,33,14,114,265,5
79,127,70,387,478,43
86,58,31,148,164,175
3,502,258,1763,3927,63
81,439,233,1128,602,44
8,500,305,1494,1862,591
32,711,455,1853,935,63
189,191,89,557,1039,94
181,208,136,666,467,77
22,173,72,506,526,25
193,205,115,529,190,22
60,30,14,66,54,0
156,60,30,127,40,2
7,74,40,184,123,6
130,178,110,848,1738,29
37,82,34,262,303,66
126,747,443,1821,2421,445
172,545,387,1461,1777,35
36,43,22,92,200,3
90,297,189,937,468,31
142,66,32,201,464,29
45,33,13,44,60,0
14,38,12,114,79,37
128,166,70,490,695,166
129,254,121,517,143,4
25,422,230,1547,8378,415
206,1063,582,2175,2053,97
18,107,53,276,77,8
112,43,24,93,69,4
163,623,333,1462,845,22
91,233,112,679,1161,57
137,370,214,1739,9010,1929
167,88,50,250,513,13
121,175,91,458,968,155
111,182,113,765,1276,311
