idolId,accounts,onlyAccounts,tweets,favs,retweets
72,40,null,79,182,25
144,22,null,40,48,6
31,34,null,71,94,12
164,359,null,781,967,284
143,204,null,387,163,6
29,26,null,45,22,2
52,27,null,44,43,1
92,427,null,1176,1036,53
127,460,null,912,1324,229
54,388,null,842,2568,83
104,99,null,195,256,19
76,267,null,590,283,56
65,41,null,68,109,12
51,30,null,63,77,40
13,351,null,838,1190,512
20,228,null,580,690,20
99,20,null,54,6,0
27,1136,null,2981,7609,469
184,275,null,477,189,95
200,129,null,268,575,57
6,178,null,456,771,54
47,17,null,41,32,0
150,48,null,99,215,5
116,39,null,97,93,5
113,58,null,125,141,7
16,13,null,26,9,0
155,17,null,38,25,0
151,36,null,75,111,23
153,184,null,449,630,87
124,118,null,216,603,72
21,17,null,28,32,0
146,402,null,734,376,32
53,19,null,31,20,0
26,91,null,241,140,36
24,58,null,127,73,5
122,89,null,197,236,7
12,828,null,2507,1567,114
9,108,null,287,813,264
66,369,null,688,1704,213
158,123,null,230,207,8
75,339,null,985,739,54
74,875,null,2203,2787,1572
73,200,null,419,532,61
98,504,null,924,528,142
115,19,null,36,20,0
187,29,null,56,33,3
186,228,null,701,1185,127
149,212,null,603,439,37
83,53,null,121,186,13
138,263,null,558,584,15
190,14,null,17,47,26
70,12,null,13,6,0
132,133,null,399,524,37
48,44,null,85,173,14
55,420,null,1598,2112,335
58,83,null,205,171,1
56,29,null,69,103,1
68,147,null,392,474,13
1001,318,null,630,857,28
102,15,null,24,27,11
57,42,null,63,165,5
50,755,null,1770,3186,125
154,216,null,475,1357,178
33,365,null,829,1717,141
11,551,null,1270,1746,110
188,44,null,96,137,5
95,7,null,20,10,5
34,215,null,586,573,34
140,37,null,62,35,3
196,67,null,127,631,62
49,29,null,44,54,3
89,984,null,2420,5532,824
59,887,null,2254,3495,164
15,355,null,801,764,32
80,191,null,475,891,236
105,400,null,1171,4095,501
198,609,null,1132,897,87
141,12,null,13,8,2
162,148,null,321,509,77
5,357,null,1057,1959,464
120,280,null,498,161,12
110,16,null,24,19,0
67,422,null,1190,1483,440
1,418,null,739,465,7
195,36,null,93,119,27
63,383,null,912,2356,185
114,482,null,860,382,33
1002,377,null,653,655,18
168,730,null,2103,21500,3217
169,161,null,307,304,9
185,23,null,43,59,0
38,36,null,53,97,13
205,182,null,323,202,43
19,306,null,770,4587,620
103,15,null,20,10,1
170,53,null,136,404,138
175,24,null,53,11,2
97,608,null,1380,2190,139
71,33,null,57,16,0
133,259,null,633,437,6
96,184,null,480,737,195
135,716,null,2030,3735,148
78,557,null,1205,6854,815
88,541,null,1326,1314,40
39,24,null,57,16,2
204,324,null,688,655,17
194,34,null,70,64,0
77,123,null,264,481,83
173,299,null,764,2659,939
41,222,null,652,2846,203
2,287,null,732,579,42
17,136,null,405,293,1
174,247,null,673,1061,32
136,104,null,337,690,73
118,103,null,228,231,11
197,230,null,523,458,82
191,41,null,75,52,5
117,18,null,37,50,0
160,27,null,36,30,1
85,463,null,923,387,39
131,710,null,1366,881,79
61,29,null,56,102,46
165,25,null,55,75,12
82,60,null,116,342,90
166,10,null,15,2,0
192,140,null,351,425,115
64,250,null,489,692,130
123,748,null,1927,3688,194
62,78,null,196,346,37
100,36,null,71,37,2
1003,592,null,1119,921,45
1004,503,null,780,546,24
171,217,null,451,768,47
147,235,null,485,282,32
40,36,null,78,31,2
4,80,null,176,105,29
119,116,null,279,545,7
23,120,null,220,58,5
84,556,null,1740,1411,44
35,554,null,1144,2053,91
87,47,null,83,81,0
93,35,null,50,27,1
101,1562,null,4624,5641,347
157,647,null,1556,4394,860
159,339,null,778,1181,8
134,361,null,1214,2934,127
28,582,null,1234,1503,141
176,43,null,77,48,16
125,92,null,246,440,32
94,111,null,279,385,23
30,30,null,85,41,1
69,138,null,337,605,41
139,43,null,96,73,11
161,264,null,673,3416,360
10,18,null,29,2,0
145,20,null,68,193,2
79,87,null,239,397,38
86,49,null,113,154,158
3,407,null,1116,2439,46
81,345,null,717,327,23
8,392,null,934,1287,442
32,575,null,1262,816,59
189,161,null,384,900,85
181,166,null,417,312,71
22,143,null,329,435,19
193,169,null,365,166,22
60,25,null,42,54,0
156,49,null,95,28,2
7,60,null,128,104,5
130,140,null,480,1264,13
37,62,null,161,265,60
126,588,null,1193,2202,382
172,433,null,936,1502,29
36,32,null,62,168,3
90,254,null,625,390,30
142,58,null,126,365,28
45,23,null,30,51,0
14,28,null,70,72,35
128,141,null,338,634,164
129,198,null,364,97,3
25,327,null,957,7192,334
206,762,null,1337,1534,69
18,86,null,190,64,6
112,34,null,62,66,4
163,475,null,977,571,16
91,189,null,474,1017,44
137,301,null,1024,5936,1380
167,71,null,182,427,13
121,152,null,328,838,153
111,145,null,498,971,241
