idolId,users,tweets,favs,retweets
72,54,118,230,32
144,28,61,58,11
31,43,95,102,14
164,418,1104,1093,292
143,242,537,193,6
29,32,66,29,3
52,34,62,59,2
92,484,1689,1392,66
127,549,1254,1651,294
54,443,1107,2815,93
104,113,250,277,20
76,352,877,401,75
65,48,86,164,14
51,36,100,96,52
13,420,1147,1304,552
20,257,800,795,22
99,22,67,6,0
27,1306,4096,8175,690
184,336,683,250,102
200,142,351,757,77
6,202,654,1196,54
47,25,59,40,0
150,54,144,237,5
116,43,122,98,5
113,66,171,183,11
16,16,35,9,0
155,22,57,30,2
151,49,114,127,31
153,206,622,744,102
124,130,272,728,83
21,20,34,37,0
146,492,983,462,37
53,23,38,23,0
26,106,364,154,39
24,70,176,112,20
122,111,295,340,20
12,960,3645,2832,349
9,126,409,977,312
66,442,960,1782,215
158,144,332,227,11
75,400,1431,910,87
74,1048,3281,3727,2121
73,250,580,725,92
98,606,1248,611,144
115,23,54,20,0
187,31,77,37,4
186,308,1183,2051,231
149,246,894,597,39
83,65,178,202,17
138,307,803,669,38
190,19,23,54,30
70,19,21,12,0
132,147,527,572,48
48,53,125,195,14
55,461,2174,2406,372
58,107,285,196,3
56,34,89,114,1
68,164,544,554,15
1001,378,885,1019,35
102,21,37,29,11
57,51,86,196,6
50,902,2608,4269,303
154,255,643,1451,189
33,442,1238,2566,197
11,642,1878,2251,134
188,56,138,149,5
95,9,29,12,5
34,242,774,632,36
140,44,88,41,7
196,73,151,676,62
49,34,59,58,4
89,1135,3311,6241,869
59,1065,3126,4022,197
15,417,1168,976,36
80,237,716,1079,266
105,466,1685,4716,504
198,742,1546,1169,129
141,15,18,11,2
162,162,414,580,87
5,402,1514,2639,477
120,343,691,203,14
110,22,32,21,0
67,521,1759,1945,516
1,518,1009,553,10
195,54,159,161,46
63,452,1250,2890,236
114,556,1116,462,41
1002,440,878,770,27
168,855,2922,23575,3253
169,200,447,407,13
185,29,56,76,0
38,39,67,99,14
205,228,432,289,47
19,354,1076,5123,650
103,20,38,12,1
170,61,175,465,138
175,27,78,12,2
97,740,1916,2620,144
71,40,78,16,0
133,348,992,959,10
96,217,708,859,238
135,833,2893,4524,177
78,635,1621,8304,1028
88,637,1807,1498,47
39,32,99,21,2
204,419,1008,896,31
194,35,85,67,0
77,145,362,624,147
173,354,1103,3260,1069
41,285,977,3824,252
2,327,993,637,47
17,152,535,410,8
174,281,939,1276,41
136,116,476,929,90
118,115,332,297,12
197,263,689,542,97
191,48,101,53,5
117,19,47,51,0
160,28,50,32,1
85,544,1248,442,40
131,819,1787,1002,85
61,45,88,146,63
165,27,71,79,12
82,70,155,379,96
166,11,18,2,0
192,156,484,483,116
64,296,629,719,130
123,898,2759,4304,215
62,98,291,400,50
100,41,88,41,3
1003,694,1514,1280,56
1004,596,1019,582,24
171,277,675,1120,69
147,274,660,322,32
40,47,116,34,5
4,97,227,114,33
119,135,368,695,20
23,145,287,67,5
84,642,2458,1575,50
35,648,1549,2399,102
87,65,126,90,2
93,45,69,35,3
101,1798,6507,7372,422
157,768,2240,5660,1136
159,405,1118,1274,8
134,429,1780,3707,179
28,708,1756,1968,152
176,55,113,55,19
125,108,351,591,54
94,137,405,478,27
30,37,109,45,1
69,171,477,731,54
139,52,125,94,16
161,311,992,3928,400
10,24,42,2,0
145,30,103,252,5
79,122,349,472,43
86,57,141,164,171
3,454,1450,2641,53
81,414,1008,552,38
8,477,1336,1732,558
32,669,1705,906,61
189,184,511,994,92
181,200,598,417,76
22,168,458,496,24
193,193,488,186,22
60,29,60,54,0
156,56,118,38,2
7,70,171,120,6
130,162,742,1562,14
37,78,233,296,66
126,682,1641,2345,418
172,523,1322,1709,35
36,40,84,195,3
90,283,857,446,30
142,65,183,437,29
45,30,40,56,0
14,36,103,77,37
128,163,458,690,166
129,236,477,123,4
25,399,1396,8076,397
206,965,1893,1860,94
18,102,256,75,8
112,41,86,68,4
163,598,1351,810,22
91,217,620,1122,56
137,349,1537,8162,1785
167,85,235,499,13
121,173,430,936,155
111,173,701,1212,295
