idolId,accounts,onlyAccounts,tweets,favs,retweets
72,31,,53,132,19
144,17,,26,45,6
31,28,,43,73,8
164,291,,497,697,160
143,163,,245,114,4
29,22,,32,19,2
52,25,,33,33,1
92,372,,749,675,45
127,354,,575,775,109
54,321,,577,2182,80
104,87,,134,216,15
76,210,,369,220,43
65,32,,46,82,11
51,25,,41,56,30
13,290,,552,997,386
20,198,,384,530,15
99,16,,32,5,0
27,923,,1769,4936,158
184,222,,310,160,92
200,108,,194,507,56
6,150,,295,534,45
47,15,,28,26,0
150,42,,63,166,3
116,32,,63,83,5
113,49,,75,101,2
16,8,,16,6,0
155,13,,21,22,0
151,27,,40,68,13
153,157,,282,445,56
124,96,,149,524,69
21,13,,19,22,0
146,324,,473,256,24
53,16,,22,18,0
26,78,,146,132,32
24,44,,87,54,4
122,78,,136,210,7
12,711,,1586,1233,91
9,88,,176,565,202
66,308,,448,1630,212
158,101,,150,189,8
75,281,,618,641,46
74,730,,1400,2062,902
73,148,,255,346,36
98,409,,614,449,142
115,14,,19,20,0
187,23,,38,31,3
186,187,,418,887,100
149,168,,342,254,20
83,47,,78,143,5
138,207,,342,453,8
190,10,,12,42,25
70,9,,10,3,0
132,107,,248,459,34
48,39,,59,144,14
55,375,,1008,1672,273
58,72,,131,142,0
56,25,,45,78,1
68,125,,257,381,6
1001,257,,390,605,19
102,7,,8,15,5
57,28,,39,128,5
50,614,,1105,2273,77
154,175,,315,813,43
33,271,,490,865,107
11,436,,793,1517,96
188,35,,61,111,3
95,6,,11,9,5
34,148,,311,349,18
140,29,,37,31,3
196,51,,84,445,50
49,22,,31,47,2
89,789,,1473,3956,685
59,727,,1424,2643,140
15,284,,486,401,25
80,148,,301,810,224
105,339,,703,3265,485
198,482,,732,756,76
141,6,,7,8,2
162,127,,200,439,65
5,273,,652,1346,441
120,228,,340,135,12
110,15,,22,19,0
67,356,,722,1002,299
1,290,,435,334,4
195,31,,59,93,25
63,329,,617,1905,151
114,386,,582,281,21
1002,310,,435,517,16
168,572,,1222,15751,3005
169,125,,189,205,7
185,18,,27,36,0
38,17,,22,12,1
205,153,,217,167,34
19,253,,488,4010,599
103,12,,15,10,1
170,46,,101,343,135
175,18,,28,11,2
97,514,,924,1722,132
71,30,,41,11,0
133,220,,395,335,2
96,157,,302,413,130
135,614,,1238,2854,102
78,436,,753,4649,422
88,440,,826,1025,30
39,19,,35,11,2
204,268,,456,539,13
194,26,,47,54,0
77,110,,197,402,68
173,229,,468,1990,673
41,187,,419,2259,179
2,211,,395,345,31
17,116,,244,185,1
174,178,,386,729,16
136,93,,214,469,71
118,88,,155,176,9
197,171,,322,311,61
191,26,,44,48,5
117,16,,23,45,0
160,18,,23,25,0
85,381,,612,324,34
131,562,,870,613,39
61,22,,31,78,43
165,19,,37,59,10
82,44,,73,286,88
166,5,,8,2,0
192,113,,223,338,87
64,187,,304,94,2
123,622,,1200,2749,160
62,62,,130,285,30
100,28,,45,32,2
1003,481,,720,557,35
1004,378,,504,443,20
171,177,,290,478,32
147,195,,316,233,29
40,30,,49,28,1
4,64,,117,94,25
119,90,,169,389,7
23,97,,146,51,4
84,413,,970,1044,39
35,445,,720,1686,61
87,37,,53,75,0
93,27,,37,20,1
101,1313,,2906,3883,274
157,536,,982,3234,635
159,273,,492,984,6
134,297,,717,2122,69
28,442,,760,1003,79
176,17,,30,16,8
125,80,,160,354,32
94,94,,170,288,20
30,27,,54,31,1
69,115,,216,481,35
139,35,,61,51,7
161,225,,425,2459,296
10,15,,21,1,0
145,14,,38,124,0
79,69,,150,297,36
86,41,,69,138,121
3,279,,590,797,11
81,278,,450,216,18
8,313,,555,732,274
32,474,,834,698,48
189,120,,233,558,59
181,130,,241,189,45
22,104,,197,350,9
193,127,,226,97,1
60,16,,24,44,0
156,41,,65,19,2
7,51,,88,92,5
130,113,,274,894,7
37,56,,104,242,57
126,486,,803,1668,303
172,355,,605,1134,25
36,30,,50,147,2
90,194,,386,322,25
142,48,,85,299,24
45,19,,24,43,0
14,26,,52,61,31
128,115,,214,537,153
129,159,,246,72,2
25,262,,550,5187,242
206,594,,858,1247,48
18,72,,123,56,4
112,30,,41,65,4
163,379,,637,404,14
91,153,,302,797,20
137,240,,593,3624,836
167,58,,112,279,10
121,120,,221,636,131
111,116,,276,556,132
