idolId,users,tweets,favs,retweets
72,81,206,376,56
144,45,104,85,13
31,64,158,121,15
164,597,2050,1695,372
143,380,1045,302,12
29,60,130,33,3
52,59,125,104,2
92,632,2875,2381,88
127,798,2144,2081,379
54,625,1839,3154,113
104,167,447,383,29
76,472,1426,494,87
65,83,155,257,15
51,51,202,170,95
13,674,2236,2275,748
20,332,1286,941,32
99,33,108,7,0
27,1947,7400,10287,891
184,508,1180,434,139
200,200,581,968,104
6,268,1162,1957,61
47,44,116,51,1
150,82,294,330,5
116,85,242,198,8
113,99,315,236,21
16,36,74,35,6
155,42,109,52,7
151,70,193,152,34
153,309,1184,1154,338
124,214,512,1168,118
21,36,59,46,0
146,895,2074,1016,78
53,39,78,29,1
26,155,698,200,75
24,100,291,145,36
122,171,537,579,42
12,1488,6788,4632,876
9,175,785,1801,549
66,645,1701,1956,218
158,231,632,312,21
75,602,2503,1150,110
74,1710,6309,5960,3140
73,359,1044,1174,179
98,877,2285,759,147
115,34,99,21,0
187,55,155,53,4
186,443,2053,2741,321
149,450,1873,956,62
83,97,279,215,20
138,459,1480,1078,82
190,38,52,65,34
70,35,39,21,1
132,222,801,723,83
48,85,251,286,16
55,595,3962,3864,601
58,143,477,250,3
56,55,170,263,2
68,228,999,904,20
1001,677,1774,1501,87
102,35,66,30,11
57,84,156,270,17
50,1334,5601,6652,450
154,327,1008,1608,229
33,829,2632,5204,345
11,973,3645,4426,477
188,79,265,198,6
95,21,66,20,13
34,320,1248,914,45
140,65,163,59,9
196,99,257,966,83
49,48,95,73,4
89,1751,6271,8333,1007
59,1509,5387,5037,243
15,628,2163,1280,43
80,349,1298,1436,286
105,677,3041,6294,516
198,1101,2614,1543,170
141,33,52,11,2
162,228,700,910,179
5,671,2799,3919,604
120,493,1163,284,21
110,33,56,23,0
67,872,3451,2759,553
1,883,1916,806,13
195,81,285,220,57
63,636,2217,4094,353
114,786,1899,599,53
1002,641,1536,987,51
168,1348,5369,32069,3592
169,295,823,594,30
185,46,94,83,0
38,64,119,204,38
205,333,747,359,51
19,566,2063,7666,1057
103,36,72,14,1
170,94,328,913,341
175,49,144,20,2
97,1187,3608,4390,327
71,68,150,34,4
133,520,1953,1259,20
96,311,1295,1136,354
135,1205,5214,6253,434
78,893,2924,11355,1451
88,938,3232,2518,198
39,61,210,66,29
204,585,1751,1147,41
194,70,160,99,11
77,194,594,878,227
173,560,2102,4888,1721
41,376,1815,5447,282
2,549,1992,1136,107
17,211,851,538,14
174,375,1578,1894,62
136,159,864,1292,100
118,189,651,571,21
197,422,1184,666,113
191,86,185,101,9
117,39,87,86,4
160,42,89,37,1
85,975,2538,794,61
131,1139,2952,1324,111
61,63,144,170,72
165,46,151,100,15
82,99,273,451,99
166,23,35,2,0
192,259,888,802,171
64,487,1129,985,164
123,1297,4949,5826,344
62,136,490,453,56
100,62,125,42,3
1003,1182,3001,2376,98
1004,924,1797,814,44
171,394,1310,1935,80
147,417,1178,428,38
40,64,177,37,5
4,148,403,172,66
119,189,588,843,22
23,231,521,155,18
84,871,4434,2077,62
35,1016,2998,3600,147
87,109,268,146,5
93,73,134,72,10
101,2574,12113,13468,758
157,1112,3969,7341,1494
159,729,2298,3341,54
134,746,3623,5912,361
28,1018,3142,2775,237
176,79,205,61,22
125,152,553,848,77
94,303,858,874,68
30,53,168,55,1
69,235,817,951,64
139,82,218,171,41
161,547,1919,5328,421
10,53,98,32,0
145,55,191,418,11
79,161,613,558,48
86,90,242,189,216
3,855,3180,5688,92
81,624,1818,808,58
8,697,2437,2894,880
32,1038,2943,1195,68
189,271,902,3341,230
181,396,1210,622,85
22,305,886,940,96
193,265,795,236,26
60,47,93,57,2
156,90,215,57,3
7,97,287,142,6
130,249,1492,2601,34
37,136,458,391,74
126,1045,2969,4186,834
172,822,2358,2104,44
36,72,169,287,9
90,410,1503,799,59
142,96,333,608,48
45,55,74,68,1
14,63,208,104,46
128,234,806,946,191
129,361,796,192,8
25,579,2524,10159,510
206,1510,3476,2329,110
18,145,394,104,15
112,76,159,80,5
163,853,2403,1114,28
91,317,1006,1602,81
137,524,3072,14370,2520
167,128,424,878,33
121,290,820,1746,350
111,235,1225,1750,348
