idolId,accounts,onlyAccounts,tweets,favs,retweets
72,35,,65,166,24
144,21,,34,47,6
31,34,,57,89,9
164,327,,639,919,276
143,185,,313,149,5
29,24,,40,22,2
52,26,,40,40,1
92,398,,955,807,51
127,398,,716,957,160
54,351,,708,2431,80
104,91,,163,237,15
76,232,,461,249,47
65,36,,54,96,11
51,27,,48,59,31
13,326,,699,1154,498
20,214,,474,635,15
99,17,,40,5,0
27,1060,,2452,7336,362
184,253,,396,175,94
200,114,,227,545,57
6,161,,368,649,51
47,16,,34,30,0
150,47,,82,202,3
116,37,,83,92,5
113,54,,100,132,6
16,11,,22,9,0
155,15,,28,24,0
151,33,,55,101,22
153,171,,353,568,78
124,105,,178,552,72
21,14,,21,22,0
146,376,,603,319,30
53,17,,25,19,0
26,87,,197,139,35
24,50,,106,63,5
122,80,,158,222,7
12,778,,2032,1418,100
9,98,,224,741,240
66,338,,560,1666,213
158,107,,186,200,8
75,311,,793,699,50
74,796,,1755,2479,1254
73,170,,325,439,36
98,463,,776,499,142
115,17,,27,20,0
187,26,,45,33,3
186,202,,545,1061,117
149,195,,478,392,33
83,49,,96,165,8
138,245,,458,549,9
190,10,,13,42,25
70,9,,10,3,0
132,114,,320,512,36
48,42,,70,168,14
55,396,,1279,1858,312
58,78,,173,163,1
56,28,,60,93,1
68,137,,312,455,8
1001,293,,521,790,26
102,12,,17,26,10
57,32,,49,153,5
50,688,,1428,2802,116
154,195,,386,1289,175
33,320,,643,1284,139
11,507,,1040,1663,99
188,40,,74,130,4
95,6,,15,10,5
34,164,,395,400,20
140,34,,48,34,3
196,63,,109,607,62
49,26,,37,52,2
89,868,,1887,4757,724
59,817,,1834,3183,152
15,328,,638,647,31
80,172,,370,842,227
105,372,,941,3850,498
198,555,,942,833,83
141,7,,8,8,2
162,137,,256,479,72
5,299,,803,1520,447
120,250,,411,146,12
110,16,,24,19,0
67,388,,952,1339,426
1,324,,538,356,5
195,31,,72,113,27
63,360,,758,2182,171
114,429,,722,334,30
1002,349,,542,605,18
168,642,,1614,18582,3085
169,137,,240,250,9
185,19,,35,48,0
38,33,,45,93,12
205,167,,271,192,38
19,280,,628,4416,617
103,13,,17,10,1
170,47,,117,373,138
175,22,,38,11,2
97,559,,1166,2078,137
71,31,,48,15,0
133,237,,512,391,2
96,171,,389,626,174
135,668,,1627,3385,122
78,510,,995,6068,663
88,494,,1058,1215,37
39,21,,45,14,2
204,299,,573,624,14
194,31,,57,61,0
77,116,,233,444,72
173,245,,574,2322,832
41,203,,520,2636,193
2,240,,508,398,37
17,125,,319,246,1
174,199,,503,854,17
136,98,,265,583,72
118,99,,191,220,9
197,187,,415,356,65
191,34,,61,50,5
117,17,,28,47,0
160,23,,29,29,1
85,425,,765,352,37
131,615,,1066,697,46
61,25,,44,99,46
165,23,,48,72,11
82,54,,97,321,89
166,8,,11,2,0
192,125,,274,360,89
64,216,,394,667,128
123,694,,1564,3487,192
62,71,,165,342,36
100,32,,58,34,2
1003,537,,907,792,41
1004,432,,629,497,22
171,200,,370,666,40
147,216,,399,261,32
40,34,,65,30,2
4,69,,145,100,27
119,101,,221,479,7
23,108,,178,55,5
84,474,,1334,1319,42
35,501,,950,1973,83
87,43,,69,79,0
93,29,,42,23,1
101,1450,,3748,5051,327
157,599,,1263,3978,779
159,307,,634,1119,8
134,330,,946,2559,97
28,484,,944,1239,81
176,24,,47,16,8
125,86,,203,413,32
94,107,,224,343,20
30,28,,69,38,1
69,127,,280,559,36
139,40,,78,60,9
161,246,,538,3128,349
10,17,,26,2,0
145,17,,54,174,2
79,80,,195,359,36
86,44,,88,145,139
3,303,,737,977,12
81,314,,584,282,22
8,344,,715,981,346
32,528,,1019,774,55
189,144,,322,849,85
181,148,,321,264,69
22,122,,258,410,16
193,151,,295,116,1
60,20,,31,51,0
156,46,,81,23,2
7,52,,106,96,5
130,123,,362,1102,8
37,59,,129,252,57
126,542,,991,2128,380
172,388,,763,1411,27
36,32,,58,164,3
90,221,,493,356,26
142,53,,101,328,24
45,22,,28,49,0
14,28,,59,71,35
128,133,,280,604,164
129,179,,304,85,3
25,298,,746,6605,315
206,686,,1096,1437,57
18,78,,154,58,5
112,32,,52,65,4
163,427,,805,495,15
91,169,,381,936,41
137,277,,770,4689,1083
167,61,,141,367,13
121,138,,280,800,153
111,129,,365,729,185
