idolId,accounts,onlyAccounts,tweets,favs,retweets
72,39,null,74,176,24
144,22,null,39,48,6
31,34,null,69,94,12
164,349,null,743,958,283
143,200,null,367,160,5
29,26,null,44,22,2
52,27,null,43,42,1
92,423,null,1123,1011,53
127,451,null,870,1270,213
54,377,null,802,2539,81
104,97,null,180,252,18
76,256,null,546,275,53
65,40,null,63,104,11
51,30,null,58,71,36
13,344,null,802,1188,512
20,222,null,547,682,18
99,20,null,53,6,0
27,1105,null,2795,7510,434
184,269,null,452,186,95
200,129,null,258,565,57
6,173,null,427,737,54
47,17,null,41,32,0
150,48,null,94,209,4
116,37,null,92,93,5
113,57,null,118,137,7
16,12,null,24,9,0
155,17,null,34,24,0
151,35,null,70,111,23
153,180,null,427,616,85
124,113,null,204,587,72
21,15,null,23,22,0
146,395,null,695,366,32
53,18,null,29,20,0
26,89,null,226,140,36
24,58,null,124,69,5
122,86,null,184,229,7
12,818,null,2361,1517,114
9,105,null,270,795,259
66,360,null,648,1694,213
158,118,null,212,203,8
75,331,null,931,729,53
74,858,null,2114,2750,1542
73,194,null,401,513,61
98,492,null,874,518,142
115,19,null,32,20,0
187,27,null,53,33,3
186,223,null,651,1147,127
149,206,null,547,418,37
83,51,null,116,184,13
138,259,null,530,572,15
190,13,null,16,45,25
70,12,null,13,6,0
132,129,null,374,518,36
48,43,null,79,173,14
55,413,null,1514,2087,331
58,81,null,192,167,1
56,29,null,67,99,1
68,143,null,361,471,11
1001,310,null,599,841,26
102,14,null,22,27,11
57,40,null,59,159,5
50,729,null,1642,3069,123
154,207,null,451,1337,178
33,351,null,757,1499,139
11,539,null,1209,1735,109
188,44,null,91,136,5
95,7,null,18,10,5
34,209,null,552,569,34
140,36,null,56,35,3
196,67,null,122,629,62
49,28,null,42,54,3
89,926,null,2179,5005,744
59,870,null,2132,3444,162
15,346,null,746,717,32
80,188,null,452,884,236
105,397,null,1100,3996,501
198,599,null,1078,879,86
141,11,null,12,8,2
162,144,null,303,507,77
5,344,null,959,1738,461
120,267,null,469,154,12
110,16,null,24,19,0
67,411,null,1112,1437,437
1,349,null,608,368,5
195,35,null,86,118,27
63,374,null,862,2311,184
114,465,null,813,361,31
1002,371,null,616,643,18
168,706,null,1972,21213,3209
169,156,null,287,296,9
185,23,null,42,59,0
38,36,null,50,94,13
205,177,null,308,202,43
19,297,null,723,4528,620
103,15,null,20,10,1
170,52,null,129,397,138
175,24,null,47,11,2
97,594,null,1308,2137,139
71,32,null,52,15,0
133,247,null,586,430,6
96,180,null,449,719,189
135,702,null,1921,3657,142
78,544,null,1135,6602,761
88,526,null,1242,1276,39
39,23,null,52,16,2
204,319,null,658,647,15
194,33,null,66,63,0
77,122,null,256,476,83
173,291,null,718,2573,903
41,212,null,593,2723,200
2,275,null,675,526,42
17,133,null,379,270,1
174,237,null,632,1040,29
136,103,null,306,650,72
118,102,null,219,228,11
197,226,null,503,454,81
191,36,null,66,50,5
117,18,null,34,49,0
160,25,null,32,30,1
85,455,null,873,382,39
131,687,null,1313,864,78
61,29,null,52,100,46
165,25,null,54,74,11
82,59,null,110,338,90
166,9,null,13,2,0
192,134,null,327,409,108
64,240,null,464,686,130
123,733,null,1813,3621,194
62,75,null,186,346,37
100,35,null,67,36,2
1003,579,null,1060,894,44
1004,488,null,737,534,24
171,211,null,419,707,44
147,227,null,450,274,32
40,35,null,75,31,2
4,76,null,166,104,28
119,110,null,253,504,7
23,116,null,203,57,5
84,545,null,1632,1389,43
35,535,null,1081,2023,88
87,44,null,76,80,0
93,32,null,46,23,1
101,1531,null,4375,5561,346
157,627,null,1446,4087,797
159,331,null,738,1158,8
134,349,null,1117,2835,119
28,568,null,1159,1467,138
176,42,null,72,48,16
125,91,null,230,434,32
94,110,null,264,373,22
30,30,null,80,41,1
69,132,null,317,582,40
139,41,null,90,69,9
161,262,null,633,3351,359
10,18,null,28,2,0
145,18,null,60,183,2
79,82,null,218,372,36
86,48,null,107,152,154
3,405,null,1069,2394,44
81,333,null,676,313,23
8,387,null,877,1248,428
32,560,null,1211,805,57
189,156,null,365,887,85
181,160,null,397,303,71
22,138,null,314,427,16
193,167,null,352,166,22
60,23,null,38,51,0
156,48,null,90,28,2
7,59,null,123,102,5
130,135,null,439,1210,13
37,62,null,152,264,60
126,577,null,1126,2171,380
172,419,null,881,1471,28
36,32,null,62,168,3
90,243,null,585,378,29
142,57,null,116,354,28
45,22,null,29,51,0
14,28,null,64,72,35
128,139,null,318,621,164
129,190,null,344,96,3
25,319,null,891,7029,327
206,744,null,1280,1525,68
18,82,null,173,61,5
112,34,null,59,66,4
163,456,null,925,554,16
91,186,null,449,1009,43
137,297,null,979,5803,1362
167,68,null,165,398,13
121,146,null,313,830,153
111,141,null,477,965,240
