idolId,users,tweets,favs,retweets
72,76,193,370,54
144,41,94,81,13
31,59,144,120,15
164,545,1847,1584,337
143,356,966,288,12
29,54,118,33,3
52,56,113,102,2
92,607,2687,2238,81
127,757,1993,2044,373
54,586,1697,3117,109
104,162,420,382,29
76,454,1331,482,82
65,76,142,240,15
51,47,181,158,88
13,633,2081,2212,714
20,316,1202,917,29
99,31,101,6,0
27,1818,6745,9776,868
184,478,1095,422,139
200,192,550,955,104
6,262,1094,1889,58
47,37,104,51,1
150,79,268,315,5
116,78,226,192,8
113,93,295,232,20
16,32,64,33,6
155,37,100,49,6
151,63,176,140,34
153,300,1090,1131,332
124,194,464,1055,106
21,33,54,41,0
146,807,1854,819,67
53,35,71,27,0
26,148,645,191,74
24,92,263,132,32
122,150,478,506,39
12,1359,6095,4073,622
9,167,713,1663,506
66,607,1573,1943,218
158,217,585,307,20
75,574,2316,1107,108
74,1582,5709,5331,2978
73,340,969,1136,177
98,829,2102,721,146
115,32,91,21,0
187,50,143,53,4
186,408,1890,2543,287
149,424,1715,926,62
83,93,262,214,20
138,439,1373,1032,75
190,34,48,63,34
70,33,37,20,1
132,203,757,670,75
48,81,225,257,15
55,566,3630,3639,584
58,136,444,243,3
56,51,157,254,2
68,216,932,853,20
1001,631,1630,1454,86
102,33,62,30,11
57,79,144,260,14
50,1240,4799,6008,433
154,312,944,1567,211
33,762,2408,4763,326
11,908,3311,4210,445
188,77,251,196,6
95,17,57,20,13
34,310,1181,894,43
140,61,151,59,9
196,91,232,865,76
49,44,88,69,4
89,1624,5724,7891,968
59,1425,4981,4902,239
15,580,1976,1240,43
80,326,1200,1424,285
105,609,2762,5971,513
198,1031,2391,1486,161
141,30,46,11,2
162,215,666,877,174
5,647,2609,3658,559
120,464,1084,275,21
110,31,50,23,0
67,783,3094,2472,541
1,825,1750,769,12
195,73,251,213,57
63,589,2030,3835,330
114,731,1747,562,47
1002,581,1403,931,36
168,1292,4974,31266,3575
169,276,754,547,28
185,41,83,82,0
38,49,91,99,14
205,315,697,352,50
19,526,1907,7323,1039
103,33,67,14,1
170,87,302,882,335
175,40,124,14,2
97,1126,3347,4328,324
71,62,135,30,4
133,489,1792,1193,16
96,282,1165,1079,326
135,1124,4818,5892,308
78,829,2684,10703,1380
88,881,3002,2462,191
39,58,196,64,29
204,560,1640,1107,40
194,60,146,99,11
77,186,559,843,217
173,532,1935,4696,1644
41,354,1678,5222,280
2,527,1854,1107,103
17,201,795,509,14
174,364,1472,1818,62
136,154,801,1232,100
118,169,592,533,21
197,403,1101,640,110
191,79,168,95,9
117,35,78,58,2
160,37,78,37,1
85,916,2331,742,61
131,1090,2746,1276,111
61,59,135,170,72
165,42,136,94,14
82,91,251,439,99
166,19,31,2,0
192,240,825,786,170
64,448,1035,930,162
123,1226,4595,5690,328
62,129,454,449,55
100,57,116,42,3
1003,1093,2750,2095,75
1004,853,1644,702,25
171,371,1195,1827,80
147,389,1074,415,38
40,62,168,37,5
4,139,376,171,65
119,174,547,810,22
23,217,485,148,18
84,835,4100,2011,62
35,969,2775,3448,145
87,99,246,137,4
93,67,122,49,6
101,2391,10998,11767,700
157,1043,3668,7002,1429
159,680,2107,3016,39
134,696,3250,5436,300
28,969,2922,2715,234
176,72,192,60,22
125,137,507,750,67
94,285,800,811,53
30,51,160,55,1
69,221,745,909,64
139,74,201,155,38
161,517,1781,5161,421
10,49,90,30,0
145,46,173,383,5
79,154,569,543,48
86,85,224,189,214
3,783,2962,5512,82
81,568,1643,760,53
8,664,2239,2759,852
32,986,2732,1144,67
189,258,833,2991,212
181,380,1131,594,82
22,234,744,690,65
193,248,744,228,26
60,40,84,54,0
156,79,190,53,3
7,94,270,140,6
130,237,1368,2499,33
37,122,420,377,74
126,979,2711,3927,745
172,783,2208,2043,44
36,65,150,258,9
90,376,1370,715,53
142,87,307,592,47
45,43,59,62,0
14,57,193,91,40
128,220,744,925,190
129,336,719,180,7
25,543,2318,9822,495
206,1448,3225,2273,109
18,135,368,103,15
112,69,146,80,5
163,788,2182,993,27
91,296,937,1470,65
137,469,2810,13483,2457
167,122,389,848,33
121,254,744,1614,349
111,224,1144,1661,344
