idolId,accounts,onlyAccounts,tweets,favs,retweets
72,64,30,148,254,33
144,31,12,76,63,12
31,47,13,114,112,15
164,477,261,1393,1241,298
143,295,164,717,240,9
29,39,19,86,31,3
52,44,16,83,93,2
92,541,331,2173,1942,70
127,644,393,1588,1867,325
54,508,227,1407,2988,106
104,122,65,306,295,20
76,403,215,1100,440,79
65,54,17,111,206,15
51,38,17,130,116,67
13,510,274,1525,1555,608
20,290,185,1003,855,28
99,26,7,82,6,0
27,1555,1034,5405,9130,816
184,408,218,887,289,103
200,164,98,440,820,84
6,221,111,851,1537,56
47,30,8,78,47,1
150,65,30,199,277,5
116,54,22,153,118,7
113,77,39,231,217,15
16,18,5,44,12,0
155,28,10,78,33,2
151,59,28,145,137,32
153,250,156,861,1026,298
124,159,82,357,876,91
21,23,4,41,39,0
146,579,333,1262,542,41
53,26,9,51,24,0
26,117,75,482,162,47
24,77,38,206,116,20
122,125,66,387,438,31
12,1098,724,4688,3287,459
9,144,85,540,1151,360
66,508,266,1237,1839,216
158,179,88,457,284,18
75,455,285,1806,1026,103
74,1272,786,4375,4412,2477
73,290,139,743,872,111
98,698,416,1645,654,144
115,25,8,68,21,0
187,36,16,103,38,4
186,364,183,1524,2338,262
149,283,134,1188,773,41
83,79,47,229,207,18
138,363,200,1062,835,54
190,25,11,37,61,33
70,24,2,27,16,0
132,173,92,641,590,49
48,67,39,163,224,14
55,503,280,2836,2806,466
58,117,66,345,221,3
56,37,14,114,126,1
68,192,106,723,642,18
1001,441,123,1145,1190,45
102,26,7,47,29,11
57,64,21,109,221,6
50,1034,742,3356,4543,309
154,286,106,796,1487,195
33,549,298,1708,3692,264
11,736,449,2455,2603,145
188,64,29,185,156,5
95,10,2,39,16,8
34,272,152,943,660,36
140,50,29,109,42,7
196,80,32,183,718,62
49,37,19,69,60,4
89,1377,869,4383,6940,905
59,1220,819,3995,4367,215
15,488,294,1550,1110,39
80,283,140,965,1360,284
105,525,297,2185,5327,506
198,874,541,1920,1275,140
141,19,6,28,11,2
162,183,117,533,683,114
5,453,220,1905,2992,481
120,406,211,881,235,18
110,25,12,40,21,0
67,608,323,2314,2188,523
1,619,322,1300,691,11
195,62,30,194,175,46
63,505,182,1585,3333,276
114,637,434,1404,509,42
1002,490,154,1095,852,31
168,1049,590,3861,27981,3475
169,238,134,598,481,22
185,35,7,69,80,0
38,42,12,77,99,14
205,268,119,565,325,50
19,402,190,1373,5456,663
103,21,6,45,13,1
170,80,44,235,645,240
175,31,11,100,12,2
97,856,540,2444,2923,180
71,49,34,99,18,0
133,413,189,1345,1066,13
96,243,140,914,983,285
135,917,481,3748,5206,230
78,726,407,2090,9315,1142
88,742,421,2364,2266,175
39,41,18,134,26,2
204,486,248,1309,1027,34
194,52,22,124,97,11
77,164,96,460,709,174
173,418,174,1459,3811,1247
41,310,148,1290,4443,268
2,410,214,1399,819,57
17,174,100,667,476,13
174,314,153,1197,1559,61
136,128,77,623,1078,97
118,134,75,424,380,14
197,303,105,843,596,108
191,68,23,138,83,9
117,24,8,57,55,0
160,30,14,58,32,1
85,780,442,1860,629,59
131,971,552,2294,1162,109
61,48,20,102,147,63
165,31,16,99,84,12
82,80,25,198,401,98
166,16,4,27,2,0
192,185,75,618,569,123
64,337,185,758,763,139
123,1044,646,3586,4995,274
62,106,58,354,421,52
100,46,27,97,41,3
1003,798,274,1906,1529,56
1004,708,255,1284,636,25
171,314,151,902,1387,76
147,326,199,845,354,34
40,52,22,139,36,5
4,113,62,302,151,56
119,157,80,458,761,21
23,169,89,379,77,5
84,720,363,3224,1781,55
35,818,572,2185,3087,139
87,78,31,181,125,2
93,51,27,89,41,5
101,2056,1268,8489,8938,556
157,882,553,2904,6233,1262
159,486,282,1483,1871,10
134,497,196,2389,4624,245
28,812,485,2229,2275,163
176,63,13,150,60,22
125,120,54,421,653,54
94,163,81,537,576,30
30,39,21,125,49,1
69,195,86,598,791,55
139,62,26,164,125,25
161,350,182,1297,4445,410
10,34,6,61,8,0
145,38,14,134,313,5
79,136,75,448,490,45
86,62,32,170,167,186
3,541,268,2002,4058,65
81,492,242,1303,675,51
8,544,317,1751,2145,647
32,788,502,2123,996,63
189,223,98,650,1809,141
181,243,153,802,488,78
22,186,73,594,560,29
193,221,120,596,197,22
60,32,14,72,54,0
156,68,35,151,43,2
7,79,41,214,128,6
130,194,113,996,1908,30
37,90,36,306,317,66
126,821,485,2136,3111,665
172,600,421,1686,1877,37
36,48,24,109,226,9
90,322,201,1072,503,35
142,72,31,230,498,34
45,36,14,48,60,0
14,44,12,140,81,37
128,181,75,564,724,166
129,278,129,581,156,5
25,461,244,1805,8879,442
206,1162,637,2513,2129,103
18,112,55,305,80,8
112,51,24,108,72,4
163,686,364,1719,902,24
91,247,117,763,1207,58
137,403,232,2087,10425,2121
167,98,53,291,594,13
121,213,113,589,1412,314
111,194,116,884,1412,327
