idolId,accounts,onlyAccounts,tweets,favs,retweets
72,37,null,63,133,19
144,17,null,27,46,6
31,31,null,48,74,8
164,306,null,558,704,163
143,170,null,269,120,4
29,22,null,36,19,2
52,25,null,36,34,1
92,378,null,825,686,46
127,376,null,635,788,110
54,331,null,628,2213,80
104,87,null,143,216,15
76,222,null,407,227,43
65,34,null,50,86,11
51,25,null,41,56,30
13,304,null,609,1007,387
20,204,null,419,539,15
99,16,null,35,5,0
27,962,null,1962,5015,181
184,235,null,351,166,93
200,109,null,206,513,56
6,154,null,320,554,46
47,16,null,30,26,0
150,44,null,70,169,3
116,34,null,70,84,5
113,50,null,86,116,6
16,9,null,19,6,0
155,15,null,23,23,0
151,29,null,47,73,13
153,161,null,306,452,56
124,99,null,158,524,69
21,14,null,20,22,0
146,342,null,524,257,24
53,16,null,22,18,0
26,82,null,163,134,33
24,45,null,93,54,4
122,79,null,143,211,7
12,736,null,1747,1259,92
9,94,null,200,576,206
66,322,null,496,1639,212
158,104,null,165,191,8
75,292,null,686,647,47
74,756,null,1518,2094,942
73,159,null,281,358,36
98,434,null,681,462,142
115,15,null,21,20,0
187,25,null,40,31,3
186,192,null,472,901,102
149,175,null,396,293,24
83,46,null,84,143,5
138,221,null,382,460,8
190,10,null,12,42,25
70,9,null,10,3,0
132,111,null,280,474,36
48,40,null,63,145,14
55,380,null,1097,1706,284
58,73,null,145,145,0
56,25,null,53,82,1
68,132,null,280,394,8
1001,277,null,442,619,20
102,9,null,13,18,6
57,30,null,44,132,5
50,651,null,1239,2337,85
154,181,null,338,820,43
33,288,null,534,870,107
11,457,null,875,1544,98
188,36,null,64,118,3
95,6,null,13,9,5
34,160,null,355,353,19
140,30,null,41,31,3
196,54,null,95,461,50
49,23,null,33,47,2
89,822,null,1636,4106,689
59,777,null,1594,2696,143
15,301,null,549,434,28
80,158,null,327,814,225
105,353,null,798,3416,487
198,512,null,817,767,76
141,6,null,7,8,2
162,131,null,223,441,66
5,283,null,687,1351,442
120,238,null,370,137,12
110,15,null,23,19,0
67,365,null,810,1032,303
1,306,null,479,336,5
195,31,null,65,93,25
63,341,null,674,1945,153
114,401,null,635,291,24
1002,326,null,478,523,16
168,603,null,1377,15936,3016
169,128,null,209,207,7
185,18,null,29,36,0
38,17,null,24,12,1
205,159,null,238,169,34
19,258,null,536,4062,600
103,13,null,16,10,1
170,46,null,109,349,135
175,20,null,31,11,2
97,537,null,1021,1749,133
71,30,null,45,11,0
133,232,null,446,357,2
96,165,null,337,436,135
135,633,null,1385,2925,106
78,452,null,826,4738,441
88,461,null,913,1063,31
39,21,null,40,11,2
204,281,null,500,545,13
194,26,null,49,54,0
77,113,null,212,403,68
173,232,null,488,1991,674
41,195,null,453,2279,180
2,222,null,443,351,33
17,120,null,271,192,1
174,188,null,435,740,17
136,96,null,232,475,71
118,93,null,170,180,9
197,180,null,364,325,61
191,31,null,51,48,5
117,16,null,25,45,0
160,19,null,24,25,0
85,397,null,658,327,35
131,591,null,961,635,41
61,23,null,35,80,43
165,19,null,39,59,10
82,45,null,78,287,88
166,7,null,10,2,0
192,115,null,241,341,87
64,192,null,330,101,2
123,655,null,1338,2802,162
62,66,null,144,288,31
100,29,null,49,33,2
1003,502,null,784,579,37
1004,398,null,553,453,20
171,179,null,313,493,32
147,202,null,349,239,30
40,32,null,54,30,2
4,66,null,130,94,25
119,93,null,189,404,7
23,101,null,158,53,4
84,418,null,1073,1058,40
35,465,null,817,1722,67
87,39,null,57,75,0
93,28,null,39,20,1
101,1374,null,3208,4001,280
157,561,null,1101,3389,679
159,287,null,550,1011,7
134,309,null,794,2204,74
28,462,null,818,1009,79
176,21,null,37,16,8
125,81,null,178,363,32
94,100,null,188,291,20
30,27,null,60,32,1
69,124,null,247,502,35
139,38,null,67,52,7
161,237,null,478,2532,310
10,17,null,25,1,0
145,16,null,45,126,0
79,77,null,168,305,36
86,44,null,81,142,122
3,288,null,645,810,11
81,294,null,498,227,19
8,327,null,613,748,278
32,500,null,910,723,50
189,127,null,259,568,59
181,136,null,263,195,45
22,113,null,230,355,9
193,138,null,251,100,1
60,17,null,27,46,0
156,42,null,69,19,2
7,51,null,94,92,5
130,119,null,315,920,7
37,57,null,113,244,57
126,513,null,879,1690,303
172,368,null,666,1156,25
36,30,null,53,151,2
90,205,null,427,324,25
142,50,null,91,301,24
45,21,null,26,43,0
14,27,null,55,62,31
128,123,null,243,546,154
129,167,null,271,72,2
25,278,null,631,5344,246
206,636,null,961,1256,50
18,76,null,137,56,4
112,30,null,46,65,4
163,393,null,701,424,14
91,158,null,326,813,20
137,253,null,646,3724,847
167,58,null,121,292,12
121,131,null,247,655,131
111,118,null,302,576,139
