idolId,users,tweets,favs,retweets
72,58,127,235,33
144,28,67,62,12
31,43,100,102,14
164,433,1203,1171,295
143,257,598,219,8
29,36,75,29,3
52,36,67,68,2
92,510,1863,1504,68
127,587,1371,1754,308
54,463,1202,2876,96
104,117,270,279,20
76,369,944,407,75
65,48,91,177,14
51,37,112,108,60
13,444,1261,1342,564
20,266,871,813,22
99,22,71,6,0
27,1380,4462,8276,708
184,366,754,261,102
200,148,373,760,77
6,208,723,1343,55
47,26,65,40,0
150,58,165,251,5
116,48,133,100,5
113,69,187,190,11
16,16,36,9,0
155,24,65,31,2
151,50,126,132,31
153,229,734,1001,292
124,139,301,790,86
21,21,39,39,0
146,521,1066,480,38
53,24,42,24,0
26,113,419,158,44
24,71,187,114,20
122,115,317,346,20
12,1002,3980,2890,350
9,134,451,1034,332
66,462,1053,1809,215
158,150,362,232,12
75,422,1564,959,96
74,1134,3748,4091,2342
73,266,629,763,92
98,630,1377,622,144
115,23,57,20,0
187,32,85,37,4
186,328,1314,2159,242
149,261,1001,674,40
83,70,195,203,17
138,327,906,798,48
190,22,28,60,32
70,20,23,14,0
132,158,575,578,49
48,56,134,200,14
55,475,2391,2492,382
58,111,304,204,3
56,35,101,123,1
68,175,610,590,16
1001,393,962,1072,36
102,22,38,29,11
57,54,93,198,6
50,942,2852,4403,306
154,268,698,1469,192
33,514,1482,3309,256
11,669,2057,2341,135
188,56,154,151,5
95,9,32,14,7
34,251,838,645,36
140,44,94,41,7
196,76,162,689,62
49,34,63,59,4
89,1221,3702,6534,878
59,1117,3413,4127,199
15,433,1300,1056,39
80,262,840,1326,283
105,485,1875,4973,504
198,786,1661,1193,133
141,16,21,11,2
162,169,454,619,96
5,417,1656,2749,479
120,358,755,214,14
110,24,35,21,0
67,540,1924,1987,516
1,529,1072,565,10
195,57,168,162,46
63,470,1354,3028,246
114,587,1211,485,41
1002,462,960,812,31
168,903,3204,24068,3265
169,208,497,423,15
185,32,60,77,0
38,39,70,99,14
205,242,479,319,48
19,364,1166,5242,654
103,20,40,12,1
170,70,214,615,239
175,27,87,12,2
97,763,2066,2664,144
71,42,85,16,0
133,368,1104,999,11
96,226,793,924,263
135,858,3187,4779,186
78,661,1765,8703,1082
88,663,1956,1568,48
39,36,113,24,2
204,445,1105,951,32
194,39,93,67,0
77,149,389,656,161
173,371,1225,3486,1132
41,290,1074,3979,255
2,367,1172,785,52
17,162,589,457,11
174,295,1056,1495,60
136,119,533,999,97
118,118,361,314,13
197,283,744,567,105
191,54,113,73,9
117,20,50,51,0
160,28,53,32,1
85,641,1494,573,58
131,856,1939,1042,85
61,46,93,146,63
165,27,79,80,12
82,72,172,381,96
166,14,22,2,0
192,160,525,499,117
64,309,678,741,134
123,940,3021,4454,221
62,101,313,408,50
100,44,92,41,3
1003,726,1632,1338,56
1004,635,1101,609,25
171,283,736,1193,73
147,286,717,328,32
40,48,124,35,5
4,106,273,142,50
119,143,408,723,20
23,154,310,68,5
84,665,2713,1639,53
35,688,1720,2499,103
87,73,149,119,2
93,48,76,37,3
101,1889,7188,7704,457
157,808,2472,5954,1214
159,443,1260,1535,9
134,457,2038,4206,212
28,742,1927,2068,156
176,58,124,55,19
125,109,370,609,54
94,144,448,525,27
30,38,112,47,1
69,175,514,755,55
139,54,137,101,18
161,322,1095,4081,403
10,24,45,2,0
145,33,113,262,5
79,127,383,478,43
86,58,148,164,175
3,500,1757,3926,62
81,439,1126,602,44
8,500,1490,1861,591
32,708,1845,931,63
189,190,554,1038,94
181,208,664,466,77
22,173,503,526,25
193,205,527,190,22
60,30,65,54,0
156,60,127,40,2
7,74,183,123,6
130,178,835,1733,29
37,82,261,303,66
126,742,1813,2421,445
172,543,1457,1775,35
36,43,92,200,3
90,296,930,468,30
142,66,200,463,29
45,32,43,59,0
14,38,114,79,37
128,166,487,695,166
129,252,514,143,4
25,420,1536,8369,413
206,1056,2157,2048,97
18,107,275,77,8
112,43,93,69,4
163,621,1456,845,22
91,232,677,1160,57
137,370,1736,9008,1929
167,88,250,513,13
121,174,457,968,155
111,182,760,1273,311
