idolId,users,tweets,favs,retweets
72,35,61,133,19
144,17,27,46,6
31,31,48,74,8
164,303,542,703,163
143,170,266,119,4
29,22,34,19,2
52,25,36,34,1
92,377,813,684,46
127,371,623,785,110
54,328,622,2211,80
104,87,143,216,15
76,219,401,227,43
65,33,49,85,11
51,25,41,56,30
13,303,604,1006,387
20,203,416,539,15
99,16,35,5,0
27,958,1939,5005,178
184,232,344,163,93
200,109,204,513,56
6,154,318,553,46
47,16,30,26,0
150,44,69,169,3
116,34,70,84,5
113,49,81,102,2
16,9,19,6,0
155,15,23,23,0
151,29,47,73,13
153,161,305,451,56
124,99,156,524,69
21,13,19,22,0
146,340,517,257,24
53,16,22,18,0
26,82,161,133,33
24,45,93,54,4
122,79,143,211,7
12,730,1728,1257,92
9,94,200,576,206
66,321,490,1639,212
158,104,165,191,8
75,291,675,646,47
74,753,1502,2089,941
73,157,278,357,36
98,431,671,461,142
115,15,21,20,0
187,25,40,31,3
186,191,469,901,102
149,174,392,293,24
83,46,84,143,5
138,216,374,458,8
190,10,12,42,25
70,9,10,3,0
132,111,276,474,36
48,39,62,145,14
55,379,1092,1706,284
58,73,144,145,0
56,25,51,81,1
68,131,278,393,8
1001,274,430,613,19
102,7,11,16,5
57,30,43,130,5
50,646,1222,2333,85
154,181,335,820,43
33,287,531,870,107
11,446,858,1544,98
188,36,64,118,3
95,6,13,9,5
34,157,347,350,19
140,30,41,31,3
196,54,93,460,50
49,23,32,47,2
89,818,1621,4100,689
59,767,1568,2693,143
15,301,545,432,27
80,156,323,814,225
105,352,785,3405,487
198,505,799,767,76
141,6,7,8,2
162,131,222,441,66
5,282,685,1351,442
120,237,369,137,12
110,15,23,19,0
67,365,798,1030,303
1,304,474,336,5
195,31,65,93,25
63,340,666,1935,153
114,397,624,287,21
1002,323,471,521,16
168,598,1357,15920,3015
169,128,208,207,7
185,18,29,36,0
38,17,24,12,1
205,157,234,169,34
19,258,532,4059,600
103,12,15,10,1
170,46,107,347,135
175,20,30,11,2
97,532,1004,1748,133
71,30,45,11,0
133,230,440,356,2
96,164,333,436,135
135,628,1362,2915,105
78,449,816,4724,437
88,457,902,1062,31
39,21,40,11,2
204,279,495,543,13
194,26,49,54,0
77,112,210,403,68
173,231,487,1991,674
41,195,447,2278,180
2,222,443,351,33
17,119,267,192,1
174,187,432,739,17
136,95,231,474,71
118,92,168,180,9
197,177,347,321,61
191,30,50,48,5
117,16,25,45,0
160,19,24,25,0
85,395,647,327,35
131,587,944,629,41
61,23,33,79,43
165,19,39,59,10
82,45,78,287,88
166,7,10,2,0
192,114,237,340,87
64,190,325,97,2
123,649,1310,2794,162
62,66,141,288,31
100,29,49,33,2
1003,498,774,579,37
1004,395,548,453,20
171,179,312,493,32
147,202,344,238,29
40,32,54,30,2
4,66,128,94,25
119,93,184,403,7
23,101,156,53,4
84,414,1053,1058,40
35,461,803,1717,66
87,39,57,75,0
93,28,39,20,1
101,1369,3172,3995,280
157,560,1087,3271,642
159,285,542,1011,7
134,307,787,2204,74
28,460,810,1009,79
176,18,34,16,8
125,81,176,360,32
94,100,187,291,20
30,27,58,31,1
69,123,242,499,35
139,37,66,52,7
161,235,472,2530,310
10,16,24,1,0
145,15,44,126,0
79,77,166,303,36
86,43,80,142,122
3,287,637,806,11
81,294,494,226,19
8,326,609,745,277
32,498,901,720,50
189,124,255,564,59
181,135,262,195,45
22,110,216,353,9
193,138,248,100,1
60,17,27,46,0
156,42,69,19,2
7,51,91,92,5
130,116,308,920,7
37,57,112,244,57
126,510,870,1688,303
172,367,664,1156,25
36,30,53,151,2
90,204,425,324,25
142,49,89,301,24
45,21,26,43,0
14,27,55,62,31
128,121,239,546,154
129,166,267,72,2
25,275,616,5317,246
206,630,941,1256,50
18,76,133,56,4
112,30,45,65,4
163,393,695,422,14
91,158,325,812,20
137,252,643,3719,847
167,58,121,292,12
121,130,242,648,131
111,118,301,575,139
