idolId,accounts,onlyAccounts,tweets,favs,retweets
72,36,null,68,171,24
144,21,null,34,47,6
31,34,null,63,90,9
164,334,null,666,928,282
143,191,null,327,150,5
29,25,null,42,22,2
52,26,null,40,40,1
92,407,null,1023,951,52
127,408,null,760,1015,170
54,360,null,735,2468,80
104,92,null,166,237,15
76,235,null,478,254,49
65,36,null,54,96,11
51,27,null,48,59,31
13,328,null,719,1157,498
20,215,null,486,639,15
99,17,null,41,5,0
27,1072,null,2530,7359,374
184,256,null,410,176,94
200,117,null,236,552,57
6,163,null,383,672,51
47,16,null,37,32,0
150,47,null,84,202,3
116,37,null,84,92,5
113,56,null,106,132,6
16,12,null,23,9,0
155,15,null,28,24,0
151,34,null,59,103,22
153,171,null,370,571,81
124,105,null,184,556,72
21,14,null,22,22,0
146,380,null,621,330,30
53,17,null,26,20,0
26,87,null,203,140,36
24,52,null,111,67,5
122,82,null,166,225,7
12,790,null,2121,1448,100
9,99,null,229,750,242
66,345,null,586,1668,213
158,111,null,193,201,8
75,318,null,835,704,50
74,817,null,1869,2593,1384
73,178,null,352,452,42
98,469,null,793,500,142
115,17,null,27,20,0
187,26,null,45,33,3
186,208,null,574,1086,120
149,199,null,487,393,33
83,50,null,102,171,10
138,251,null,477,555,9
190,10,null,13,42,25
70,10,null,11,4,0
132,117,null,329,513,36
48,42,null,73,169,14
55,402,null,1356,1949,315
58,78,null,175,164,1
56,28,null,61,94,1
68,138,null,328,460,8
1001,296,null,536,798,26
102,12,null,17,26,10
57,35,null,53,157,5
50,696,null,1473,2862,118
154,197,null,401,1298,176
33,324,null,657,1284,139
11,522,null,1093,1687,102
188,41,null,78,130,4
95,6,null,15,10,5
34,188,null,485,475,21
140,34,null,49,34,3
196,63,null,110,611,62
49,28,null,40,54,3
89,880,null,1942,4778,725
59,831,null,1907,3244,154
15,332,null,655,657,32
80,175,null,391,852,228
105,380,null,977,3876,498
198,568,null,982,842,85
141,8,null,9,8,2
162,138,null,267,483,72
5,311,null,827,1528,449
120,254,null,424,147,12
110,16,null,24,19,0
67,393,null,980,1357,430
1,332,null,557,359,5
195,31,null,75,113,27
63,363,null,781,2213,176
114,436,null,739,340,31
1002,354,null,558,615,18
168,656,null,1688,18771,3085
169,142,null,252,259,9
185,20,null,36,49,0
38,33,null,45,93,12
205,170,null,284,196,42
19,284,null,646,4435,617
103,14,null,19,10,1
170,50,null,121,379,138
175,23,null,40,11,2
97,570,null,1192,2083,137
71,31,null,48,15,0
133,238,null,522,393,3
96,171,null,401,632,174
135,683,null,1724,3492,127
78,519,null,1024,6186,687
88,502,null,1102,1228,38
39,22,null,46,16,2
204,308,null,595,633,15
194,31,null,61,62,0
77,118,null,240,451,76
173,258,null,612,2349,842
41,208,null,535,2643,193
2,243,null,525,411,39
17,128,null,338,258,1
174,207,null,525,875,17
136,99,null,270,587,72
118,99,null,201,222,10
197,196,null,430,362,66
191,34,null,62,50,5
117,17,null,29,47,0
160,23,null,30,30,1
85,434,null,789,361,37
131,627,null,1106,707,46
61,25,null,46,99,46
165,23,null,50,72,11
82,55,null,99,322,89
166,9,null,13,2,0
192,128,null,297,397,107
64,220,null,410,676,130
123,701,null,1615,3496,192
62,71,null,172,342,36
100,33,null,60,34,2
1003,546,null,951,816,42
1004,440,null,649,500,22
171,205,null,379,674,41
147,219,null,412,262,32
40,34,null,66,30,2
4,70,null,150,103,28
119,106,null,229,487,7
23,110,null,185,55,5
84,509,null,1431,1339,43
35,513,null,980,1976,83
87,44,null,73,80,0
93,29,null,42,23,1
101,1469,null,3897,5213,332
157,606,null,1297,4005,785
159,313,null,658,1123,8
134,337,null,992,2623,100
28,498,null,973,1249,86
176,30,null,55,18,9
125,87,null,208,418,32
94,108,null,239,347,21
30,28,null,72,38,1
69,128,null,294,564,40
139,40,null,82,60,9
161,250,null,557,3168,350
10,17,null,26,2,0
145,18,null,55,175,2
79,80,null,199,359,36
86,44,null,91,145,140
3,309,null,756,985,12
81,318,null,603,293,22
8,354,null,759,1022,351
32,540,null,1080,781,56
189,145,null,329,857,85
181,151,null,352,281,69
22,126,null,269,416,16
193,155,null,307,116,1
60,21,null,33,51,0
156,46,null,83,25,2
7,54,null,109,97,5
130,128,null,378,1112,8
37,59,null,133,254,58
126,554,null,1019,2137,380
172,397,null,786,1425,27
36,32,null,59,164,3
90,225,null,514,361,26
142,54,null,105,329,25
45,22,null,28,49,0
14,28,null,61,71,35
128,136,null,290,608,164
129,182,null,315,89,3
25,301,null,773,6660,316
206,702,null,1146,1465,66
18,80,null,163,61,5
112,32,null,54,65,4
163,432,null,832,502,16
91,176,null,401,944,41
137,285,null,843,5020,1153
167,62,null,146,373,13
121,138,null,286,801,153
111,132,null,395,758,201
