idolId,accounts,onlyAccounts,tweets,favs,retweets
72,35,null,65,166,24
144,21,null,34,47,6
31,34,null,57,89,9
164,326,null,625,917,275
143,182,null,308,148,5
29,24,null,39,22,2
52,26,null,39,38,1
92,397,null,929,805,51
127,396,null,708,957,160
54,348,null,688,2415,80
104,91,null,162,237,15
76,232,null,452,248,47
65,35,null,52,94,11
51,27,null,48,59,31
13,323,null,687,1151,498
20,213,null,469,635,15
99,16,null,39,5,0
27,1052,null,2403,7316,349
184,250,null,392,175,94
200,111,null,220,542,57
6,160,null,362,646,50
47,16,null,34,30,0
150,47,null,79,200,3
116,36,null,80,92,5
113,52,null,95,128,5
16,11,null,22,9,0
155,15,null,27,24,0
151,32,null,53,100,21
153,168,null,349,565,77
124,103,null,174,549,72
21,14,null,21,22,0
146,371,null,588,319,30
53,16,null,24,19,0
26,87,null,194,139,35
24,48,null,103,60,4
122,80,null,155,221,7
12,770,null,1992,1404,100
9,98,null,223,741,240
66,337,null,550,1666,213
158,107,null,184,200,8
75,309,null,777,693,50
74,787,null,1719,2467,1229
73,167,null,315,434,36
98,457,null,757,495,142
115,17,null,27,20,0
187,25,null,44,33,3
186,202,null,537,1059,117
149,192,null,457,378,31
83,49,null,94,165,8
138,241,null,435,545,9
190,10,null,13,42,25
70,9,null,10,3,0
132,114,null,317,510,36
48,42,null,69,168,14
55,393,null,1262,1854,310
58,77,null,166,159,1
56,27,null,58,93,1
68,136,null,307,455,8
1001,293,null,508,782,25
102,12,null,17,26,10
57,31,null,47,153,5
50,682,null,1395,2768,115
154,191,null,376,1289,175
33,313,null,634,1283,139
11,499,null,1015,1659,99
188,40,null,74,130,4
95,6,null,15,10,5
34,163,null,386,399,20
140,33,null,47,34,3
196,63,null,108,607,62
49,25,null,36,52,2
89,855,null,1856,4742,720
59,811,null,1794,3173,152
15,323,null,625,640,31
80,171,null,363,841,227
105,369,null,919,3844,498
198,551,null,918,831,83
141,7,null,8,8,2
162,137,null,255,479,72
5,295,null,792,1518,447
120,246,null,403,146,12
110,16,null,24,19,0
67,384,null,924,1320,424
1,320,null,524,356,5
195,31,null,71,113,27
63,359,null,742,2173,171
114,423,null,707,331,30
1002,346,null,533,605,18
168,632,null,1563,18499,3082
169,134,null,231,248,9
185,19,null,35,48,0
38,32,null,44,93,12
205,165,null,264,191,38
19,278,null,619,4407,617
103,13,null,16,10,1
170,47,null,114,371,137
175,22,null,38,11,2
97,556,null,1141,2071,136
71,31,null,48,15,0
133,237,null,501,390,2
96,169,null,376,618,173
135,659,null,1572,3352,121
78,506,null,974,6006,652
88,484,null,1028,1209,36
39,21,null,44,14,2
204,298,null,560,617,14
194,29,null,54,61,0
77,115,null,230,443,72
173,245,null,566,2322,832
41,202,null,512,2627,193
2,236,null,500,395,37
17,125,null,315,242,1
174,197,null,494,851,17
136,98,null,264,583,72
118,97,null,186,219,9
197,182,null,400,349,65
191,34,null,61,50,5
117,17,null,27,47,0
160,23,null,29,29,1
85,418,null,741,348,37
131,607,null,1034,691,46
61,25,null,44,99,46
165,23,null,46,72,11
82,53,null,92,319,88
166,8,null,11,2,0
192,125,null,273,358,89
64,210,null,372,657,127
123,689,null,1524,3464,192
62,71,null,163,341,36
100,32,null,57,34,2
1003,533,null,889,787,41
1004,425,null,614,493,22
171,195,null,362,661,40
147,215,null,393,261,32
40,34,null,63,30,2
4,69,null,142,100,27
119,98,null,215,474,7
23,105,null,174,55,5
84,464,null,1291,1306,42
35,490,null,916,1965,81
87,42,null,67,79,0
93,29,null,42,23,1
101,1431,null,3662,5006,322
157,592,null,1227,3965,778
159,305,null,625,1118,8
134,322,null,929,2549,97
28,480,null,928,1232,81
176,24,null,46,16,8
125,86,null,203,413,32
94,106,null,220,341,20
30,27,null,65,36,1
69,127,null,274,556,36
139,40,null,77,59,9
161,245,null,524,3096,348
10,17,null,26,2,0
145,17,null,54,174,2
79,79,null,186,357,36
86,44,null,86,144,139
3,299,null,726,972,12
81,311,null,571,282,22
8,340,null,698,974,345
32,518,null,999,770,55
189,143,null,319,846,85
181,147,null,318,264,69
22,121,null,256,409,16
193,148,null,285,115,1
60,20,null,31,51,0
156,45,null,78,23,2
7,52,null,103,95,5
130,123,null,356,1091,8
37,59,null,129,252,57
126,535,null,965,2012,363
172,383,null,739,1396,27
36,31,null,56,162,3
90,218,null,483,339,25
142,53,null,101,328,24
45,22,null,28,49,0
14,28,null,58,71,35
128,126,null,269,598,162
129,178,null,299,84,3
25,296,null,724,6550,315
206,677,null,1070,1430,56
18,78,null,149,58,5
112,32,null,51,65,4
163,421,null,793,493,15
91,169,null,374,931,41
137,273,null,762,4687,1083
167,60,null,139,366,13
121,137,null,276,798,153
111,128,null,363,727,185
