idolId,users,tweets,favs,retweets
72,80,204,376,56
144,45,103,84,13
31,64,158,121,15
164,595,2029,1685,372
143,378,1032,302,12
29,60,129,33,3
52,59,125,104,2
92,630,2851,2374,88
127,795,2127,2073,377
54,622,1823,3151,113
104,167,444,383,29
76,470,1413,492,87
65,83,154,256,15
51,51,201,170,94
13,673,2222,2272,748
20,331,1282,941,32
99,33,107,7,0
27,1933,7341,10269,887
184,506,1165,434,139
200,199,577,966,104
6,268,1153,1953,61
47,44,116,51,1
150,82,291,329,5
116,85,242,198,8
113,99,312,236,21
16,36,72,35,6
155,41,107,52,7
151,70,192,152,34
153,306,1163,1154,338
124,213,510,1166,118
21,36,59,46,0
146,889,2044,1007,78
53,39,78,29,1
26,155,692,200,75
24,99,290,145,36
122,169,532,578,42
12,1476,6729,4622,876
9,175,771,1778,540
66,640,1688,1956,218
158,229,623,312,21
75,599,2477,1148,110
74,1700,6254,5920,3131
73,356,1030,1168,179
98,874,2261,758,147
115,34,98,21,0
187,55,154,53,4
186,439,2037,2724,320
149,446,1850,951,62
83,97,277,214,20
138,458,1472,1073,81
190,38,52,65,34
70,35,39,21,1
132,220,795,723,83
48,84,249,285,16
55,592,3920,3856,601
58,142,471,249,3
56,55,169,263,2
68,226,992,903,20
1001,671,1756,1500,87
102,35,66,30,11
57,84,155,269,17
50,1323,5497,6619,448
154,327,1003,1608,229
33,825,2619,5203,345
11,967,3608,4419,477
188,79,264,198,6
95,20,65,20,13
34,320,1240,912,45
140,65,162,59,9
196,98,255,966,83
49,48,95,73,4
89,1736,6209,8299,998
59,1500,5339,5017,242
15,624,2146,1280,43
80,348,1286,1435,286
105,675,3018,6274,516
198,1094,2591,1540,169
141,33,51,11,2
162,226,696,905,177
5,669,2790,3918,604
120,490,1151,284,21
110,33,54,23,0
67,868,3405,2723,553
1,881,1900,804,12
195,81,281,220,57
63,630,2201,4090,353
114,778,1876,598,53
1002,634,1521,986,51
168,1341,5318,31950,3577
169,292,808,584,29
185,46,94,83,0
38,63,118,204,38
205,333,742,357,51
19,565,2047,7653,1057
103,36,71,14,1
170,94,323,908,340
175,49,144,20,2
97,1181,3573,4374,326
71,68,148,34,4
133,517,1938,1255,20
96,307,1274,1131,353
135,1194,5173,6234,433
78,887,2905,11336,1451
88,931,3206,2509,198
39,61,208,66,29
204,581,1735,1134,41
194,68,158,99,11
77,192,589,878,227
173,554,2077,4885,1709
41,371,1797,5437,281
2,547,1972,1133,106
17,209,847,538,14
174,372,1558,1891,62
136,158,857,1291,100
118,187,646,570,21
197,419,1172,663,113
191,85,184,101,9
117,38,86,86,4
160,41,88,37,1
85,968,2510,790,61
131,1134,2926,1317,111
61,62,142,170,72
165,45,150,100,15
82,97,269,449,99
166,22,34,2,0
192,256,885,802,171
64,473,1102,956,162
123,1292,4906,5812,344
62,135,484,452,56
100,61,124,42,3
1003,1179,2973,2362,98
1004,919,1780,812,44
171,390,1295,1930,80
147,413,1164,427,38
40,63,176,37,5
4,145,398,172,66
119,187,582,838,22
23,230,517,155,18
84,867,4387,2068,62
35,1009,2969,3582,147
87,108,263,145,5
93,72,133,72,10
101,2550,11988,13435,757
157,1106,3923,7328,1493
159,728,2282,3329,54
134,740,3578,5871,356
28,1011,3121,2769,235
176,77,202,60,22
125,151,548,848,77
94,300,852,872,68
30,53,167,55,1
69,233,806,944,64
139,80,216,171,41
161,542,1901,5296,421
10,52,96,32,0
145,54,189,416,11
79,160,603,557,48
86,89,239,189,215
3,852,3163,5674,92
81,618,1802,807,58
8,686,2392,2844,867
32,1034,2921,1191,68
189,268,893,3311,230
181,395,1206,620,85
22,302,878,938,95
193,263,787,235,26
60,46,92,57,2
156,87,209,56,3
7,96,284,142,6
130,245,1473,2589,34
37,135,452,390,74
126,1037,2939,4181,832
172,819,2339,2098,44
36,71,166,287,9
90,406,1492,798,59
142,94,329,607,48
45,54,73,68,1
14,62,207,103,45
128,232,795,945,191
129,358,785,191,8
25,576,2498,10124,506
206,1503,3433,2320,110
18,143,390,104,15
112,73,155,80,5
163,850,2376,1110,28
91,315,1001,1597,80
137,518,3041,14304,2520
167,126,417,874,33
121,288,815,1746,350
111,233,1214,1743,347
